Package,File,"Number of errors"
abab,index.ts,0
abab,karma.conf.ts,2
abab,lib/atob.ts,2
abab,lib/btoa.ts,7
abbrev,abbrev.ts,4
acorn-jsx,index.ts,10
acorn-jsx,xhtml.ts,0
ansi-colors,bench/colors.ts,9
ansi-colors,bench/dryrun.ts,2
ansi-colors,bench/index.ts,0
ansi-colors,bench/load-ansi-colors.ts,0
ansi-colors,bench/load-chalk.ts,0
ansi-colors,examples/alias.ts,1
ansi-colors,examples/chained.ts,1
ansi-colors,examples/colors.ts,1
ansi-colors,examples/nested.ts,1
ansi-colors,examples/nesting-bug.ts,4
ansi-colors,examples/ok.ts,1
ansi-colors,examples/readme-examples.ts,1
ansi-colors,examples/screenshot-table.ts,2
ansi-colors,examples/screenshot.ts,2
ansi-colors,examples/styles.ts,1
ansi-colors,examples/theme-custom-fn.ts,1
ansi-colors,examples/theme.ts,1
ansi-colors,examples/theme2.ts,1
ansi-colors,examples/unstyle.ts,1
ansi-colors,index.ts,52
ansi-colors,symbols.ts,1
ansi-regex,fixtures/ansi-codes.ts,0
ansi-regex,fixtures/view-codes.ts,3
ansi-regex,index.ts,1
ansi-styles,index.ts,10
ansi-styles,screenshot.ts,2
arg,index.ts,1
arr-union,benchmark/check.ts,1
arr-union,benchmark/code/2-1-0.ts,0
arr-union,benchmark/code/array-union.ts,0
arr-union,benchmark/code/concat-apply.ts,1
arr-union,benchmark/code/current.ts,0
arr-union,benchmark/code/for-concat.ts,1
arr-union,benchmark/code/for-each.ts,1
arr-union,benchmark/code/for-in.ts,0
arr-union,benchmark/code/for.ts,1
arr-union,benchmark/code/reduce.ts,1
arr-union,benchmark/code/while-concat-push.ts,0
arr-union,benchmark/code/while-concat.ts,1
arr-union,benchmark/code/while-continue-for.ts,0
arr-union,benchmark/code/while-for-unique.ts,1
arr-union,benchmark/code/while-for.ts,0
arr-union,benchmark/code/while-push-apply.ts,1
arr-union,benchmark/code/while-seen.ts,0
arr-union,benchmark/code/while-while-unique.ts,1
arr-union,benchmark/code/while-while.ts,0
arr-union,benchmark/fixtures/five-arrays.ts,0
arr-union,benchmark/fixtures/ten-arrays.ts,0
arr-union,benchmark/fixtures/two-arrays.ts,0
arr-union,benchmark/index.ts,1
arr-union,index.ts,1
array-union,index.ts,0
array-uniq,index.ts,0
array-unique,benchmark/code/filter.ts,0
array-unique,benchmark/code/for-in.ts,0
array-unique,benchmark/code/linear-search-01.ts,0
array-unique,benchmark/code/set-immutable.ts,0
array-unique,benchmark/code/set.ts,0
array-unique,benchmark/code/while-hash.ts,0
array-unique,benchmark/code/while.ts,0
array-unique,benchmark/fixtures/long.ts,0
array-unique,benchmark/fixtures/med.ts,0
array-unique,benchmark/fixtures/short.ts,0
array-unique,benchmark/index.ts,1
array-unique,benchmark/randomize.ts,0
array-unique,index.ts,1
arrify,index.ts,0
assert-plus,assert.ts,5
astral-regex,index.ts,2
atob,bin/atob.ts,0
atob,browser-atob.ts,5
atob,node-atob.ts,0
aws4,aws4.ts,9
aws4,browser/index.ts,1
aws4,example.ts,1
aws4,lru.ts,0
balanced-match,example.ts,0
balanced-match,index.ts,8
base64-js,base64js.min.ts,12
base64-js,bench/basic.ts,1
base64-js,bench/bench.ts,2
base64-js,index.ts,2
binary-extensions,index.ts,0
boolbase,index.ts,0
brorand,index.ts,6
browser-process-hrtime,index.ts,6
buffer-crc32,index.ts,1
buffer-from,index.ts,3
bytes,index.ts,7
cacheable-lookup,benchmark.ts,0
cacheable-lookup,source/index.ts,2
callsites,index.ts,2
camelcase,index.ts,21
caseless,index.ts,8
char-regex,fixture/all-telugu-chars.ts,3
char-regex,index.ts,20
chownr,.github/workflows/package-json-repo.ts,0
chownr,chownr.ts,9
ci-info,index.ts,1
cli-boxes,index.ts,2
cli-spinners,example-all.ts,7
cli-spinners,example.ts,1
cli-spinners,index.ts,0
clone,clone.ts,13
co,index.ts,10
collect-v8-coverage,index.ts,10
color-name,index.ts,0
color-support,bin.ts,0
color-support,browser.ts,0
color-support,index.ts,0
colors,examples/normal-usage.ts,29
colors,examples/safe-string.ts,1
colors,lib/colors.ts,0
colors,lib/custom/american.ts,3
colors,lib/custom/trap.ts,2
colors,lib/custom/zalgo.ts,3
colors,lib/extendStringPrototype.ts,16
colors,lib/index.ts,2
colors,lib/maps/america.ts,0
colors,lib/maps/rainbow.ts,0
