Package,File,"Number of errors"
@sinonjs_commons,lib/called-in-order.test.ts,19
@sinonjs_commons,lib/called-in-order.ts,2
@sinonjs_commons,lib/class-name.test.ts,8
@sinonjs_commons,lib/class-name.ts,0
@sinonjs_commons,lib/deprecated.test.ts,30
@sinonjs_commons,lib/deprecated.ts,6
@sinonjs_commons,lib/every.test.ts,6
@sinonjs_commons,lib/every.ts,1
@sinonjs_commons,lib/function-name.test.ts,10
@sinonjs_commons,lib/function-name.ts,2
@sinonjs_commons,lib/global.test.ts,5
@sinonjs_commons,lib/global.ts,0
@sinonjs_commons,lib/index.test.ts,6
@sinonjs_commons,lib/index.ts,0
@sinonjs_commons,lib/order-by-first-call.test.ts,6
@sinonjs_commons,lib/order-by-first-call.ts,6
@sinonjs_commons,lib/prototypes/array.ts,0
@sinonjs_commons,lib/prototypes/copy-prototype.ts,0
@sinonjs_commons,lib/prototypes/function.ts,0
@sinonjs_commons,lib/prototypes/index.test.ts,23
@sinonjs_commons,lib/prototypes/index.ts,0
@sinonjs_commons,lib/prototypes/map.ts,0
@sinonjs_commons,lib/prototypes/object.ts,0
@sinonjs_commons,lib/prototypes/set.ts,0
@sinonjs_commons,lib/prototypes/string.ts,0
@sinonjs_commons,lib/type-of.test.ts,21
@sinonjs_commons,lib/type-of.ts,0
@sinonjs_commons,lib/value-to-string.test.ts,8
@sinonjs_commons,lib/value-to-string.ts,0
accepts,index.ts,6
anymatch,examples.ts,17
anymatch,index.ts,14
are-we-there-yet,.commitlintrc.ts,0
are-we-there-yet,.eslintrc.ts,0
are-we-there-yet,lib/index.ts,0
are-we-there-yet,lib/tracker-base.ts,4
are-we-there-yet,lib/tracker-group.ts,28
are-we-there-yet,lib/tracker-stream.ts,13
are-we-there-yet,lib/tracker.ts,9
asn1,lib/ber/errors.ts,0
asn1,lib/ber/index.ts,2
asn1,lib/ber/reader.ts,12
asn1,lib/ber/types.ts,0
asn1,lib/ber/writer.ts,18
asn1,lib/index.ts,0
brace-expansion,bench/bench.ts,1
brace-expansion,example.ts,0
brace-expansion,index.ts,18
braces,bench/index.ts,19
braces,examples/compile.ts,2
braces,examples/expand.ts,4
braces,examples/option-transform.ts,4
braces,examples/parse.ts,0
braces,index.ts,13
braces,lib/compile.ts,7
braces,lib/constants.ts,0
braces,lib/expand.ts,24
braces,lib/parse.ts,45
braces,lib/stringify.ts,8
braces,lib/utils.ts,20
call-bind,callBound.ts,3
call-bind,index.ts,3
color,index.ts,137
color-string,index.ts,12
compressible,index.ts,3
compressible,scripts/version-history.ts,5
cssstyle,.eslintrc.ts,0
cssstyle,jest.config.ts,0
cssstyle,lib/CSSStyleDeclaration.test.ts,0
cssstyle,lib/CSSStyleDeclaration.ts,0
cssstyle,lib/allExtraProperties.ts,0
cssstyle,lib/allProperties.ts,0
cssstyle,lib/allWebkitProperties.ts,0
cssstyle,lib/constants.ts,0
cssstyle,lib/parsers.test.ts,0
cssstyle,lib/parsers.ts,0
cssstyle,lib/properties/azimuth.ts,0
cssstyle,lib/properties/background.ts,5
cssstyle,lib/properties/backgroundAttachment.ts,0
cssstyle,lib/properties/backgroundColor.ts,0
cssstyle,lib/properties/backgroundImage.ts,0
cssstyle,lib/properties/backgroundPosition.ts,0
cssstyle,lib/properties/backgroundRepeat.ts,0
cssstyle,lib/properties/border.ts,3
cssstyle,lib/properties/borderBottom.ts,3
cssstyle,lib/properties/borderBottomColor.ts,0
cssstyle,lib/properties/borderBottomStyle.ts,0
cssstyle,lib/properties/borderBottomWidth.ts,0
cssstyle,lib/properties/borderCollapse.ts,0
cssstyle,lib/properties/borderColor.ts,0
cssstyle,lib/properties/borderLeft.ts,3
cssstyle,lib/properties/borderLeftColor.ts,0
cssstyle,lib/properties/borderLeftStyle.ts,0
cssstyle,lib/properties/borderLeftWidth.ts,0
cssstyle,lib/properties/borderRight.ts,3
cssstyle,lib/properties/borderRightColor.ts,0
cssstyle,lib/properties/borderRightStyle.ts,0
cssstyle,lib/properties/borderRightWidth.ts,0
cssstyle,lib/properties/borderSpacing.ts,0
cssstyle,lib/properties/borderStyle.ts,0
cssstyle,lib/properties/borderTop.ts,3
cssstyle,lib/properties/borderTopColor.ts,0
cssstyle,lib/properties/borderTopStyle.ts,0
cssstyle,lib/properties/borderTopWidth.ts,0
cssstyle,lib/properties/borderWidth.ts,0
cssstyle,lib/properties/bottom.ts,0
cssstyle,lib/properties/clear.ts,0
cssstyle,lib/properties/clip.ts,0
cssstyle,lib/properties/color.ts,0
cssstyle,lib/properties/cssFloat.ts,0
cssstyle,lib/properties/flex.ts,3
cssstyle,lib/properties/flexBasis.ts,0
cssstyle,lib/properties/flexGrow.ts,0
cssstyle,lib/properties/flexShrink.ts,0
cssstyle,lib/properties/float.ts,0
cssstyle,lib/properties/floodColor.ts,0
cssstyle,lib/properties/font.ts,6
cssstyle,lib/properties/fontFamily.ts,0
cssstyle,lib/properties/fontSize.ts,0
cssstyle,lib/properties/fontStyle.ts,0
cssstyle,lib/properties/fontVariant.ts,0
cssstyle,lib/properties/fontWeight.ts,0
cssstyle,lib/properties/height.ts,0
cssstyle,lib/properties/left.ts,0
cssstyle,lib/properties/lightingColor.ts,0
cssstyle,lib/properties/lineHeight.ts,0
cssstyle,lib/properties/margin.ts,0
cssstyle,lib/properties/marginBottom.ts,0
cssstyle,lib/properties/marginLeft.ts,0
cssstyle,lib/properties/marginRight.ts,0
cssstyle,lib/properties/marginTop.ts,0
cssstyle,lib/properties/opacity.ts,0
cssstyle,lib/properties/outlineColor.ts,0
cssstyle,lib/properties/padding.ts,0
cssstyle,lib/properties/paddingBottom.ts,0
cssstyle,lib/properties/paddingLeft.ts,0
cssstyle,lib/properties/paddingRight.ts,0
cssstyle,lib/properties/paddingTop.ts,0
cssstyle,lib/properties/right.ts,0
cssstyle,lib/properties/stopColor.ts,0
cssstyle,lib/properties/textLineThroughColor.ts,0
cssstyle,lib/properties/textOverlineColor.ts,0
cssstyle,lib/properties/textUnderlineColor.ts,0
cssstyle,lib/properties/top.ts,0
cssstyle,lib/properties/webkitBorderAfterColor.ts,0
cssstyle,lib/properties/webkitBorderBeforeColor.ts,0
cssstyle,lib/properties/webkitBorderEndColor.ts,0
cssstyle,lib/properties/webkitBorderStartColor.ts,0
cssstyle,lib/properties/webkitColumnRuleColor.ts,0
cssstyle,lib/properties/webkitMatchNearestMailBlockquoteColor.ts,0
cssstyle,lib/properties/webkitTapHighlightColor.ts,0
cssstyle,lib/properties/webkitTextEmphasisColor.ts,0
cssstyle,lib/properties/webkitTextFillColor.ts,0
cssstyle,lib/properties/webkitTextStrokeColor.ts,0
cssstyle,lib/properties/width.ts,0
cssstyle,lib/utils/colorSpace.ts,0
cssstyle,lib/utils/getBasicPropertyDescriptor.ts,0
cssstyle,scripts/download_latest_properties.ts,0
cssstyle,scripts/generate_implemented_properties.ts,0
cssstyle,scripts/generate_properties.ts,0
dashdash,examples/custom-option-arrayOfCommaSepString.ts,2
dashdash,examples/custom-option-duration.ts,3
dashdash,examples/custom-option-fruit.ts,1
dashdash,examples/custom-option-intGteZero.ts,1
dashdash,examples/custom-option-time-ago.ts,4
dashdash,examples/date.ts,1
dashdash,examples/ddcompletion.ts,2
dashdash,examples/foo.ts,1
dashdash,examples/hello.ts,1
dashdash,examples/help.ts,1
dashdash,examples/option-groups.ts,1
dashdash,lib/dashdash.ts,41
debug,karma.conf.ts,1
debug,src/browser.ts,15
debug,src/common.ts,23
debug,src/index.ts,5
debug,src/node.ts,5
defaults,index.ts,1
duplexify,example.ts,0
duplexify,index.ts,51
end-of-stream,index.ts,18
eslint-utils,docs/.vuepress/config.ts,0
eslint-utils,rollup.config.ts,2
eslint-utils,src/find-variable.ts,2
eslint-utils,src/get-function-head-location.ts,14
eslint-utils,src/get-function-name-with-kind.ts,2
eslint-utils,src/get-innermost-scope.ts,0
eslint-utils,src/get-property-name.ts,3
eslint-utils,src/get-static-value.ts,40
eslint-utils,src/get-string-if-constant.ts,2
eslint-utils,src/has-side-effect.ts,31
eslint-utils,src/index.ts,0
eslint-utils,src/is-parenthesized.ts,17
eslint-utils,src/pattern-matcher.ts,11
eslint-utils,src/reference-tracker.ts,51
eslint-utils,src/token-predicate.ts,27
fb-watchman,watchman/integration/capabilities.ts,9
fb-watchman,watchman/integration/case.ts,4
fb-watchman,watchman/integration/node_basic.ts,2
fb-watchman,watchman/node/bser/index.ts,17
fb-watchman,watchman/node/example.ts,1
fb-watchman,watchman/node/index.ts,17
file-entry-cache,cache.ts,8
file-entry-cache,perf.ts,1
fill-range,bench/index.ts,25
fill-range,index.ts,59
flush-write-stream,example.ts,1
flush-write-stream,index.ts,9
from2,index.ts,11
fs-extra,lib/copy/copy-sync.ts,9
fs-extra,lib/copy/copy.ts,5
fs-extra,lib/copy/index.ts,0
fs-extra,lib/empty/index.ts,3
fs-extra,lib/ensure/file.ts,2
fs-extra,lib/ensure/index.ts,6
fs-extra,lib/ensure/link.ts,7
fs-extra,lib/ensure/symlink-paths.ts,2
fs-extra,lib/ensure/symlink-type.ts,3
fs-extra,lib/ensure/symlink.ts,7
fs-extra,lib/fs/index.ts,29
fs-extra,lib/index.ts,0
fs-extra,lib/json/index.ts,10
fs-extra,lib/json/jsonfile.ts,0
fs-extra,lib/json/output-json-sync.ts,1
fs-extra,lib/json/output-json.ts,3
fs-extra,lib/mkdirs/index.ts,1
fs-extra,lib/mkdirs/make-dir.ts,8
fs-extra,lib/mkdirs/utils.ts,3
fs-extra,lib/move/index.ts,0
fs-extra,lib/move/move-sync.ts,4
fs-extra,lib/move/move.ts,4
fs-extra,lib/output-file/index.ts,8
