Package,File,"Number of errors"
@sinonjs_commons,lib/called-in-order.test.ts,18
@sinonjs_commons,lib/called-in-order.ts,2
@sinonjs_commons,lib/class-name.test.ts,8
@sinonjs_commons,lib/class-name.ts,2
@sinonjs_commons,lib/deprecated.test.ts,27
@sinonjs_commons,lib/deprecated.ts,3
@sinonjs_commons,lib/every.test.ts,6
@sinonjs_commons,lib/every.ts,1
@sinonjs_commons,lib/function-name.test.ts,15
@sinonjs_commons,lib/function-name.ts,0
@sinonjs_commons,lib/global.test.ts,4
@sinonjs_commons,lib/global.ts,0
@sinonjs_commons,lib/index.test.ts,3
@sinonjs_commons,lib/index.ts,0
@sinonjs_commons,lib/order-by-first-call.test.ts,3
@sinonjs_commons,lib/order-by-first-call.ts,2
@sinonjs_commons,lib/prototypes/array.ts,0
@sinonjs_commons,lib/prototypes/copy-prototype.ts,0
@sinonjs_commons,lib/prototypes/function.ts,0
@sinonjs_commons,lib/prototypes/index.test.ts,16
@sinonjs_commons,lib/prototypes/index.ts,0
@sinonjs_commons,lib/prototypes/map.ts,0
@sinonjs_commons,lib/prototypes/object.ts,0
@sinonjs_commons,lib/prototypes/set.ts,0
@sinonjs_commons,lib/prototypes/string.ts,0
@sinonjs_commons,lib/type-of.test.ts,11
@sinonjs_commons,lib/type-of.ts,0
@sinonjs_commons,lib/value-to-string.test.ts,5
@sinonjs_commons,lib/value-to-string.ts,1
accepts,index.ts,6
anymatch,examples.ts,5
anymatch,index.ts,14
are-we-there-yet,.commitlintrc.ts,0
are-we-there-yet,.eslintrc.ts,0
are-we-there-yet,lib/index.ts,0
are-we-there-yet,lib/tracker-base.ts,2
are-we-there-yet,lib/tracker-group.ts,10
are-we-there-yet,lib/tracker-stream.ts,5
are-we-there-yet,lib/tracker.ts,2
asn1,lib/ber/errors.ts,0
asn1,lib/ber/index.ts,2
asn1,lib/ber/reader.ts,13
asn1,lib/ber/types.ts,0
asn1,lib/ber/writer.ts,18
asn1,lib/index.ts,0
brace-expansion,bench/bench.ts,3
brace-expansion,example.ts,6
brace-expansion,index.ts,18
braces,bench/index.ts,17
braces,examples/compile.ts,2
braces,examples/expand.ts,2
braces,examples/option-transform.ts,4
braces,examples/parse.ts,0
braces,index.ts,15
braces,lib/compile.ts,7
braces,lib/constants.ts,0
braces,lib/expand.ts,23
braces,lib/parse.ts,13
braces,lib/stringify.ts,8
braces,lib/utils.ts,11
call-bind,callBound.ts,0
call-bind,index.ts,0
color,index.ts,117
color-string,index.ts,12
compressible,index.ts,5
compressible,scripts/version-history.ts,5
cssstyle,.eslintrc.ts,0
cssstyle,jest.config.ts,0
cssstyle,lib/CSSStyleDeclaration.test.ts,286
cssstyle,lib/CSSStyleDeclaration.ts,27
cssstyle,lib/allExtraProperties.ts,0
cssstyle,lib/allProperties.ts,0
cssstyle,lib/allWebkitProperties.ts,0
cssstyle,lib/constants.ts,0
cssstyle,lib/parsers.test.ts,60
cssstyle,lib/parsers.ts,91
cssstyle,lib/properties/azimuth.ts,4
cssstyle,lib/properties/background.ts,0
cssstyle,lib/properties/backgroundAttachment.ts,3
cssstyle,lib/properties/backgroundColor.ts,1
cssstyle,lib/properties/backgroundImage.ts,1
cssstyle,lib/properties/backgroundPosition.ts,2
cssstyle,lib/properties/backgroundRepeat.ts,2
cssstyle,lib/properties/border.ts,0
cssstyle,lib/properties/borderBottom.ts,0
cssstyle,lib/properties/borderBottomColor.ts,1
cssstyle,lib/properties/borderBottomStyle.ts,2
cssstyle,lib/properties/borderBottomWidth.ts,1
cssstyle,lib/properties/borderCollapse.ts,2
cssstyle,lib/properties/borderColor.ts,3
cssstyle,lib/properties/borderLeft.ts,0
cssstyle,lib/properties/borderLeftColor.ts,1
cssstyle,lib/properties/borderLeftStyle.ts,2
cssstyle,lib/properties/borderLeftWidth.ts,1
cssstyle,lib/properties/borderRight.ts,0
cssstyle,lib/properties/borderRightColor.ts,1
cssstyle,lib/properties/borderRightStyle.ts,2
cssstyle,lib/properties/borderRightWidth.ts,1
cssstyle,lib/properties/borderSpacing.ts,3
cssstyle,lib/properties/borderStyle.ts,3
cssstyle,lib/properties/borderTop.ts,0
cssstyle,lib/properties/borderTopColor.ts,1
cssstyle,lib/properties/borderTopStyle.ts,2
cssstyle,lib/properties/borderTopWidth.ts,1
cssstyle,lib/properties/borderWidth.ts,3
cssstyle,lib/properties/bottom.ts,0
cssstyle,lib/properties/clear.ts,0
cssstyle,lib/properties/clip.ts,2
cssstyle,lib/properties/color.ts,0
cssstyle,lib/properties/cssFloat.ts,0
cssstyle,lib/properties/flex.ts,0
cssstyle,lib/properties/flexBasis.ts,1
cssstyle,lib/properties/flexGrow.ts,0
cssstyle,lib/properties/flexShrink.ts,0
cssstyle,lib/properties/float.ts,0
cssstyle,lib/properties/floodColor.ts,0
cssstyle,lib/properties/font.ts,0
cssstyle,lib/properties/fontFamily.ts,0
cssstyle,lib/properties/fontSize.ts,1
cssstyle,lib/properties/fontStyle.ts,0
cssstyle,lib/properties/fontVariant.ts,0
cssstyle,lib/properties/fontWeight.ts,0
cssstyle,lib/properties/height.ts,1
cssstyle,lib/properties/left.ts,0
cssstyle,lib/properties/lightingColor.ts,0
cssstyle,lib/properties/lineHeight.ts,0
cssstyle,lib/properties/margin.ts,5
cssstyle,lib/properties/marginBottom.ts,1
cssstyle,lib/properties/marginLeft.ts,1
cssstyle,lib/properties/marginRight.ts,1
cssstyle,lib/properties/marginTop.ts,1
cssstyle,lib/properties/opacity.ts,0
