Source directory: .
Dataset: top1k-untyped-nodeps-es6
Type checking with: /mnt/data/mhyee/not-type-inference/tools/node_modules/typescript/bin/tsc
Input directory: /mnt/data/mhyee/not-type-inference/data/DeepTyper-out/top1k-untyped-nodeps-es6/baseline
Output directory: /mnt/data/mhyee/not-type-inference/data/DeepTyper-out/top1k-untyped-nodeps-es6/baseline-checked
Found 95 packages
[1/95] @gar_promisify ... [FAIL]
[2/95] @humanwhocodes_object-schema ... [FAIL]
[3/95] @sellside_emitter ... [FAIL]
[4/95] acorn-import-assertions ... [FAIL]
[5/95] aproba ... [FAIL]
[6/95] arr-flatten ... [FAIL]
[7/95] assign-symbols ... [FAIL]
[8/95] async-each ... [FAIL]
[9/95] async-limiter ... [FAIL]
[10/95] asynckit ... [FAIL]
[11/95] at-least-node ... [FAIL]
[12/95] available-typed-arrays ... [FAIL]
[13/95] aws-sign2 ... [FAIL]
[14/95] buffer-equal-constant-time ... [FAIL]
[15/95] builtin-status-codes ... [FAIL]
[16/95] cli-width ... [FAIL]
[17/95] code-point-at ... [FAIL]
[18/95] console-browserify ... [FAIL]
[19/95] console-control-strings ... [FAIL]
[20/95] copy-descriptor ... [FAIL]
[21/95] core-util-is ... [FAIL]
[22/95] cyclist ... [FAIL]
[23/95] deep-is ... [FAIL]
[24/95] delayed-stream ... [FAIL]
[25/95] domain-browser ... [FAIL]
[26/95] duplexer ... [FAIL]
[27/95] es6-object-assign ... [FAIL]
[28/95] figgy-pudding ... [FAIL]
[29/95] for-in ... [FAIL]
[30/95] fs-constants ... [FAIL]
[31/95] fs.realpath ... [FAIL]
[32/95] growly ... [FAIL]
[33/95] har-schema ... [FAIL]
[34/95] has-bigints ... [FAIL]
[35/95] has-unicode ... [FAIL]
[36/95] infer-owner ... [FAIL]
[37/95] is-accessor-descriptor ... [FAIL]
[38/95] is-arrayish ... [FAIL]
[39/95] is-descriptor ... [FAIL]
[40/95] is-extglob ... [FAIL]
[41/95] is-map ... [FAIL]
[42/95] is-negative-zero ... [FAIL]
[43/95] is-potential-custom-element-name ... [FAIL]
[44/95] is-primitive ... [FAIL]
[45/95] is-set ... [FAIL]
[46/95] is-weakmap ... [FAIL]
[47/95] json-parse-even-better-errors ... [FAIL]
[48/95] json-stable-stringify-without-jsonify ... [FAIL]
[49/95] map-cache ... [FAIL]
[50/95] mdn-data ... [FAIL]
[51/95] minimalistic-crypto-utils ... [FAIL]
[52/95] mixin-deep ... [FAIL]
[53/95] nan ... [FAIL]
[54/95] node-domexception ... [FAIL]
[55/95] node-modules-regexp ... [FAIL]
[56/95] normalize-range ... [FAIL]
[57/95] oauth-sign ... [FAIL]
[58/95] os-browserify ... [FAIL]
[59/95] p-finally ... [FAIL]
[60/95] path-dirname ... [FAIL]
[61/95] pop-iterate ... [FAIL]
[62/95] posix-character-classes ... [FAIL]
[63/95] process ... [FAIL]
[64/95] process-nextick-args ... [FAIL]
[65/95] prr ... [FAIL]
[66/95] pseudomap ... [FAIL]
[67/95] querystring-es3 ... [FAIL]
[68/95] regjsgen ... [FAIL]
[69/95] remove-trailing-separator ... [FAIL]
[70/95] require-main-filename ... [FAIL]
[71/95] resolve-alpn ... [FAIL]
[72/95] resolve-url ... [FAIL]
[73/95] reusify ... [FAIL]
[74/95] run-async ... [FAIL]
[75/95] set-blocking ... [FAIL]
[76/95] snapdragon-capture ... [FAIL]
[77/95] snapdragon-node ... [FAIL]
[78/95] source-map-url ... [FAIL]
[79/95] stealthy-require ... [FAIL]
[80/95] strip-eof ... [FAIL]
[81/95] to-arraybuffer ... [FAIL]
[82/95] toidentifier ... [FAIL]
[83/95] tty-browserify ... [FAIL]
[84/95] unicode-canonical-property-names-ecmascript ... [FAIL]
[85/95] unicode-match-property-value-ecmascript ... [FAIL]
[86/95] unicode-property-aliases-ecmascript ... [FAIL]
[87/95] unpipe ... [FAIL]
[88/95] use ... [FAIL]
[89/95] v8-compile-cache ... [FAIL]
[90/95] vm-browserify ... [FAIL]
[91/95] weak-map ... [FAIL]
[92/95] websocket-extensions ... [FAIL]
[93/95] whatwg-fetch ... [FAIL]
[94/95] which-module ... [FAIL]
[95/95] wrappy ... [FAIL]
Number of successes: 0
Number of fails: 95
Number of skips: 0
Time for type checking: 0:00:53
