Source directory: .
Dataset: top1k-typed-nodeps-es6
Type checking with: /mnt/data/mhyee/not-type-inference/tools/node_modules/typescript/bin/tsc
Input directory: /mnt/data/mhyee/not-type-inference/data/InCoder-out/top1k-typed-nodeps-es6/baseline
Output directory: /mnt/data/mhyee/not-type-inference/data/InCoder-out/top1k-typed-nodeps-es6/baseline-checked
Found 101 packages
[1/101] @xtuc_long ... [FAIL]
[2/101] acorn ... [FAIL]
[3/101] argparse ... [FAIL]
[4/101] arr-diff ... [FAIL]
[5/101] array-unique ... [FAIL]
[6/101] assert-plus ... [FAIL]
[7/101] atob ... [FAIL]
[8/101] aws4 ... [FAIL]
[9/101] big.js ... [FAIL]
[10/101] bn.js ... [FAIL]
[11/101] buffer-from ... [FAIL]
[12/101] caniuse-lite ... [FAIL]
[13/101] caseless ... [FAIL]
[14/101] cjs-module-lexer ... [FAIL]
[15/101] clone ... [FAIL]
[16/101] co ... [FAIL]
[17/101] colors ... [FAIL]
[18/101] cookie ... [FAIL]
[19/101] cssom ... [FAIL]
[20/101] decimal.js ... [FAIL]
[21/101] dedent ... [FAIL]
[22/101] deepmerge ... [FAIL]
[23/101] depd ... [FAIL]
[24/101] destroy ... [FAIL]
[25/101] diff ... [FAIL]
[26/101] ee-first ... [FAIL]
[27/101] escalade ... [FAIL]
[28/101] estraverse ... [FAIL]
[29/101] esutils ... [FAIL]
[30/101] etag ... [FAIL]
[31/101] eventemitter3 ... [FAIL]
[32/101] events ... [FAIL]
[33/101] eventsource ... [FAIL]
[34/101] extend ... [FAIL]
[35/101] fast-json-stable-stringify ... [FAIL]
[36/101] flatted ... [FAIL]
[37/101] follow-redirects ... [FAIL]
[38/101] forwarded ... [FAIL]
[39/101] fraction.js ... [FAIL]
[40/101] fsevents ... [FAIL]
[41/101] functional-red-black-tree ... [FAIL]
[42/101] gensync ... [FAIL]
[43/101] graceful-fs ... [FAIL]
[44/101] ieee754 ... [ OK ]
[45/101] interpret ... [FAIL]
[46/101] ip ... [FAIL]
[47/101] ipaddr.js ... [FAIL]
[48/101] is-callable ... [FAIL]
[49/101] is-stream ... [FAIL]
[50/101] isexe ... [FAIL]
[51/101] jsbn ... [FAIL]
[52/101] json-schema ... [FAIL]
[53/101] json-schema-traverse ... [FAIL]
[54/101] kind-of ... [FAIL]
[55/101] klona ... [FAIL]
[56/101] loader-runner ... [FAIL]
[57/101] lodash ... [FAIL]
[58/101] loglevel ... [FAIL]
[59/101] lowercase-keys ... [ OK ]
[60/101] media-typer ... [FAIL]
[61/101] mime ... [FAIL]
[62/101] mime-db ... [FAIL]
[63/101] mimic-fn ... [FAIL]
[64/101] natural-compare ... [FAIL]
[65/101] negotiator ... [FAIL]
[66/101] normalize-path ... [FAIL]
[67/101] nwsapi ... [FAIL]
[68/101] object-inspect ... [FAIL]
[69/101] object-keys ... [FAIL]
[70/101] parseurl ... [FAIL]
[71/101] path-browserify ... [FAIL]
[72/101] picomatch ... [FAIL]
[73/101] postcss-value-parser ... [FAIL]
[74/101] prelude-ls ... [FAIL]
[75/101] promise-inflight ... [FAIL]
[76/101] querystring ... [FAIL]
[77/101] regenerate ... [FAIL]
[78/101] regexp-tree ... [FAIL]
[79/101] repeat-element ... [FAIL]
[80/101] repeat-string ... [FAIL]
[81/101] require-from-string ... [FAIL]
[82/101] retry ... [FAIL]
[83/101] rsvp ... [FAIL]
[84/101] safe-buffer ... [FAIL]
[85/101] safer-buffer ... [FAIL]
[86/101] sax ... [FAIL]
[87/101] setimmediate ... [FAIL]
[88/101] source-list-map ... [FAIL]
[89/101] sprintf-js ... [FAIL]
[90/101] statuses ... [FAIL]
[91/101] tapable ... [FAIL]
[92/101] through ... [FAIL]
[93/101] tslib ... [FAIL]
[94/101] tweetnacl ... [FAIL]
[95/101] type ... [FAIL]
[96/101] urix ... [FAIL]
[97/101] uuid ... [FAIL]
[98/101] webpack-sources ... [FAIL]
[99/101] ws ... [FAIL]
[100/101] yallist ... [FAIL]
[101/101] yn ... [FAIL]
Number of successes: 2
Number of fails: 99
Number of skips: 0
Time for type checking: 0:00:57
