Package,File,"Number of errors"
@xtuc_long,index.ts,57
abab,index.ts,2
abab,karma.conf.ts,1
abab,lib/atob.ts,4
abab,lib/btoa.ts,2
abbrev,abbrev.ts,2
acorn,.eslintrc.ts,0
acorn,acorn/rollup.config.ts,0
acorn,acorn/src/bin/acorn.ts,0
acorn,acorn/src/expression.ts,1
acorn,acorn/src/generated/astralIdentifierCodes.ts,0
acorn,acorn/src/generated/astralIdentifierStartCodes.ts,0
acorn,acorn/src/generated/nonASCIIidentifierChars.ts,0
acorn,acorn/src/generated/nonASCIIidentifierStartChars.ts,0
acorn,acorn/src/identifier.ts,0
acorn,acorn/src/index.ts,0
acorn,acorn/src/location.ts,0
acorn,acorn/src/locutil.ts,0
acorn,acorn/src/lval.ts,3
acorn,acorn/src/node.ts,0
acorn,acorn/src/options.ts,0
acorn,acorn/src/parseutil.ts,0
acorn,acorn/src/regexp.ts,2
acorn,acorn/src/scope.ts,0
acorn,acorn/src/scopeflags.ts,0
acorn,acorn/src/state.ts,0
acorn,acorn/src/statement.ts,2
acorn,acorn/src/tokencontext.ts,0
acorn,acorn/src/tokenize.ts,0
acorn,acorn/src/tokentype.ts,1
acorn,acorn/src/unicode-property-data.ts,0
acorn,acorn/src/util.ts,0
acorn,acorn/src/whitespace.ts,1
acorn,acorn-loose/rollup.config.ts,0
acorn,acorn-loose/src/expression.ts,0
acorn,acorn-loose/src/index.ts,0
acorn,acorn-loose/src/parseutil.ts,0
acorn,acorn-loose/src/state.ts,0
acorn,acorn-loose/src/statement.ts,0
acorn,acorn-loose/src/tokenize.ts,0
acorn,acorn-walk/rollup.config.ts,0
acorn,acorn-walk/src/index.ts,0
acorn,bin/generate-identifier-regex.ts,0
acorn-jsx,index.ts,175
acorn-jsx,xhtml.ts,0
ansi-colors,bench/colors.ts,4
ansi-colors,bench/dryrun.ts,0
ansi-colors,bench/index.ts,0
ansi-colors,bench/load-ansi-colors.ts,0
ansi-colors,bench/load-chalk.ts,0
ansi-colors,examples/alias.ts,1
ansi-colors,examples/chained.ts,2
ansi-colors,examples/colors.ts,2
ansi-colors,examples/nested.ts,1
ansi-colors,examples/nesting-bug.ts,4
ansi-colors,examples/ok.ts,0
ansi-colors,examples/readme-examples.ts,2
ansi-colors,examples/screenshot-table.ts,1
ansi-colors,examples/screenshot.ts,1
ansi-colors,examples/styles.ts,2
ansi-colors,examples/theme-custom-fn.ts,1
ansi-colors,examples/theme.ts,3
ansi-colors,examples/theme2.ts,1
ansi-colors,examples/unstyle.ts,1
ansi-colors,index.ts,25
ansi-colors,symbols.ts,0
ansi-regex,fixtures/ansi-codes.ts,0
ansi-regex,fixtures/view-codes.ts,0
ansi-regex,index.ts,1
ansi-styles,index.ts,18
ansi-styles,screenshot.ts,3
argparse,argparse.ts,3
argparse,lib/sub.ts,0
argparse,lib/textwrap.ts,2
arr-diff,benchmark/check.ts,1
arr-diff,benchmark/code/arr-diff-3.0.0.ts,3
arr-diff,benchmark/code/arr-diff-4.0.0.ts,0
arr-diff,benchmark/code/array-differ.ts,0
arr-diff,benchmark/code/filter.ts,2
arr-diff,benchmark/code/for-negative.ts,2
arr-diff,benchmark/code/for.ts,2
arr-diff,benchmark/code/forEach.ts,2
arr-diff,benchmark/code/reduce-concat.ts,2
arr-diff,benchmark/code/reduce-push.ts,2
arr-diff,benchmark/code/while-arguments.ts,5
arr-diff,benchmark/code/while-indexof.ts,2
arr-diff,benchmark/code/while-multi-unshift.ts,3
arr-diff,benchmark/code/while-multi.ts,3
arr-diff,benchmark/code/while-push.ts,2
arr-diff,benchmark/code/while-splice-args.ts,4
arr-diff,benchmark/code/while-splice-for.ts,3
arr-diff,benchmark/code/while-splice-pop-flatten.ts,3
arr-diff,benchmark/code/while-splice-pop.ts,3
arr-diff,benchmark/code/while-splice-recurse.ts,3
arr-diff,benchmark/code/while-splice.ts,2
arr-diff,benchmark/code/while-unshift.ts,2
arr-diff,benchmark/fixtures/long-dupes.ts,0
arr-diff,benchmark/fixtures/long.ts,0
arr-diff,benchmark/fixtures/med-short.ts,0
arr-diff,benchmark/fixtures/med.ts,0
arr-diff,benchmark/fixtures/short.ts,0
arr-diff,benchmark/index.ts,0
arr-diff,index.ts,4
arr-union,benchmark/check.ts,1
arr-union,benchmark/code/2-1-0.ts,1
arr-union,benchmark/code/array-union.ts,0
arr-union,benchmark/code/concat-apply.ts,0
arr-union,benchmark/code/current.ts,0
arr-union,benchmark/code/for-concat.ts,0
arr-union,benchmark/code/for-each.ts,0
arr-union,benchmark/code/for-in.ts,0
arr-union,benchmark/code/for.ts,0
arr-union,benchmark/code/reduce.ts,1
arr-union,benchmark/code/while-concat-push.ts,0
arr-union,benchmark/code/while-concat.ts,0
arr-union,benchmark/code/while-continue-for.ts,0
arr-union,benchmark/code/while-for-unique.ts,0
arr-union,benchmark/code/while-for.ts,0
arr-union,benchmark/code/while-push-apply.ts,0
arr-union,benchmark/code/while-seen.ts,0
arr-union,benchmark/code/while-while-unique.ts,0
arr-union,benchmark/code/while-while.ts,1
arr-union,benchmark/fixtures/five-arrays.ts,0
arr-union,benchmark/fixtures/ten-arrays.ts,0
arr-union,benchmark/fixtures/two-arrays.ts,0
arr-union,benchmark/index.ts,0
arr-union,index.ts,0
array-union,index.ts,0
array-uniq,index.ts,0
array-unique,benchmark/code/filter.ts,0
array-unique,benchmark/code/for-in.ts,0
array-unique,benchmark/code/linear-search-01.ts,0
array-unique,benchmark/code/set-immutable.ts,0
array-unique,benchmark/code/set.ts,0
array-unique,benchmark/code/while-hash.ts,0
array-unique,benchmark/code/while.ts,0
array-unique,benchmark/fixtures/long.ts,0
array-unique,benchmark/fixtures/med.ts,0
array-unique,benchmark/fixtures/short.ts,0
array-unique,benchmark/index.ts,0
array-unique,benchmark/randomize.ts,0
array-unique,index.ts,0
arrify,index.ts,0
assert-plus,assert.ts,4
astral-regex,index.ts,0
async,dist/async.min.ts,NA
async,docs/v2/scripts/jsdoc-custom.ts,NA
async,docs/v2/scripts/linenumber.ts,NA
async,docs/v2/scripts/prettify/lang-css.ts,NA
async,docs/v2/scripts/prettify/prettify.ts,NA
async,docs/v3/scripts/jsdoc-custom.ts,NA
async,docs/v3/scripts/linenumber.ts,NA
async,docs/v3/scripts/prettify/lang-css.ts,NA
async,docs/v3/scripts/prettify/prettify.ts,NA
async,index.ts,NA
async,karma.conf.ts,NA
async,lib/apply.ts,NA
async,lib/applyEach.ts,NA
async,lib/applyEachSeries.ts,NA
async,lib/auto.ts,NA
async,lib/autoInject.ts,NA
async,lib/cargo.ts,NA
async,lib/cargoQueue.ts,NA
async,lib/compose.ts,NA
async,lib/concat.ts,NA
async,lib/concatLimit.ts,NA
async,lib/concatSeries.ts,NA
async,lib/constant.ts,NA
async,lib/detect.ts,NA
async,lib/detectLimit.ts,NA
async,lib/detectSeries.ts,NA
async,lib/dir.ts,NA
async,lib/doUntil.ts,NA
async,lib/doWhilst.ts,NA
async,lib/each.ts,NA
async,lib/eachLimit.ts,NA
async,lib/eachOf.ts,NA
async,lib/eachOfLimit.ts,NA
async,lib/eachOfSeries.ts,NA
async,lib/eachSeries.ts,NA
async,lib/ensureAsync.ts,NA
async,lib/every.ts,NA
async,lib/everyLimit.ts,NA
async,lib/everySeries.ts,NA
async,lib/filter.ts,NA
async,lib/filterLimit.ts,NA
async,lib/filterSeries.ts,NA
async,lib/forever.ts,NA
async,lib/groupBy.ts,NA
async,lib/groupByLimit.ts,NA
async,lib/groupBySeries.ts,NA
async,lib/index.ts,NA
async,lib/internal/DoublyLinkedList.ts,NA
async,lib/internal/Heap.ts,NA
async,lib/internal/applyEach.ts,NA
async,lib/internal/asyncEachOfLimit.ts,NA
async,lib/internal/awaitify.ts,NA
async,lib/internal/breakLoop.ts,NA
async,lib/internal/consoleFunc.ts,NA
async,lib/internal/createTester.ts,NA
async,lib/internal/eachOfLimit.ts,NA
async,lib/internal/filter.ts,NA
async,lib/internal/getIterator.ts,NA
async,lib/internal/initialParams.ts,NA
async,lib/internal/isArrayLike.ts,NA
