Source directory: .
Dataset: top1k-typed-nodeps
Type checking with: /mnt/data/mhyee/not-type-inference/tools/node_modules/typescript/bin/tsc
Input directory: /mnt/data/mhyee/not-type-inference/data/InCoder-out/top1k-typed-nodeps/baseline
Output directory: /mnt/data/mhyee/not-type-inference/data/InCoder-out/top1k-typed-nodeps/baseline-checked
Found 102 packages
[1/102] @xtuc_long ... [FAIL]
[2/102] acorn ... [FAIL]
[3/102] acorn-jsx ... [FAIL]
[4/102] argparse ... [FAIL]
[5/102] arr-diff ... [FAIL]
[6/102] arr-union ... [FAIL]
[7/102] assert-plus ... [FAIL]
[8/102] aws4 ... [FAIL]
[9/102] big.js ... [FAIL]
[10/102] bn.js ... [FAIL]
[11/102] brorand ... [FAIL]
[12/102] camelcase ... [FAIL]
[13/102] caseless ... [FAIL]
[14/102] cjs-module-lexer ... [FAIL]
[15/102] co ... [FAIL]
[16/102] color-support ... [FAIL]
[17/102] colors ... [FAIL]
[18/102] cookie ... [FAIL]
[19/102] cookie-signature ... [FAIL]
[20/102] cssom ... [FAIL]
[21/102] decimal.js ... [FAIL]
[22/102] decode-uri-component ... [FAIL]
[23/102] deep-extend ... [FAIL]
[24/102] deepmerge ... [FAIL]
[25/102] depd ... [FAIL]
[26/102] diff ... [FAIL]
[27/102] dotenv ... [FAIL]
[28/102] emittery ... [FAIL]
[29/102] estraverse ... [FAIL]
[30/102] esutils ... [FAIL]
[31/102] etag ... [FAIL]
[32/102] eventemitter3 ... [FAIL]
[33/102] events ... [FAIL]
[34/102] eventsource ... [FAIL]
[35/102] exec-sh ... [FAIL]
[36/102] extsprintf ... [FAIL]
[37/102] filter-obj ... [FAIL]
[38/102] flatted ... [FAIL]
[39/102] follow-redirects ... [FAIL]
[40/102] fraction.js ... [FAIL]
[41/102] fresh ... [FAIL]
[42/102] functional-red-black-tree ... [FAIL]
[43/102] gensync ... [FAIL]
[44/102] graceful-fs ... [FAIL]
[45/102] html-escaper ... [FAIL]
[46/102] inherits ... [FAIL]
[47/102] interpret ... [FAIL]
[48/102] ip ... [FAIL]
[49/102] ipaddr.js ... [FAIL]
[50/102] is-directory ... [FAIL]
[51/102] is-windows ... [FAIL]
[52/102] isexe ... [FAIL]
[53/102] jsbn ... [FAIL]
[54/102] json-schema ... [FAIL]
[55/102] kind-of ... [FAIL]
[56/102] klona ... [FAIL]
[57/102] loader-runner ... [FAIL]
[58/102] lodash ... [FAIL]
[59/102] loglevel ... [FAIL]
[60/102] make-error ... [FAIL]
[61/102] merge2 ... [FAIL]
[62/102] mime-db ... [FAIL]
[63/102] nanocolors ... [FAIL]
[64/102] negotiator ... [FAIL]
[65/102] node-int64 ... [FAIL]
[66/102] normalize-url ... [FAIL]
[67/102] nwsapi ... [FAIL]
[68/102] object-assign ... [FAIL]
[69/102] object-inspect ... [FAIL]
[70/102] on-headers ... [FAIL]
[71/102] parseurl ... [FAIL]
[72/102] path-parse ... [FAIL]
[73/102] postcss-modules-extract-imports ... [FAIL]
[74/102] prelude-ls ... [FAIL]
[75/102] punycode ... [FAIL]
[76/102] querystring ... [FAIL]
[77/102] regenerate ... [FAIL]
[78/102] regexp-tree ... [FAIL]
[79/102] repeat-element ... [FAIL]
[80/102] repeat-string ... [FAIL]
[81/102] require-directory ... [FAIL]
[82/102] retry ... [FAIL]
[83/102] rsvp ... [FAIL]
[84/102] safer-buffer ... [FAIL]
[85/102] sax ... [FAIL]
[86/102] signal-exit ... [FAIL]
[87/102] source-list-map ... [FAIL]
[88/102] stable ... [FAIL]
[89/102] statuses ... [FAIL]
[90/102] strip-json-comments ... [FAIL]
[91/102] tapable ... [FAIL]
[92/102] throat ... [FAIL]
[93/102] to-fast-properties ... [FAIL]
[94/102] tslib ... [FAIL]
[95/102] tweetnacl ... [FAIL]
[96/102] type ... [FAIL]
[97/102] universalify ... [FAIL]
[98/102] uuid ... [FAIL]
[99/102] webidl-conversions ... [FAIL]
[100/102] webpack-sources ... [FAIL]
[101/102] ws ... [FAIL]
[102/102] yallist ... [FAIL]
Number of successes: 0
Number of fails: 102
Number of skips: 0
Time for type checking: 0:00:58
