Package,File,"Number of errors"
@sinonjs_commons,lib/called-in-order.ts,5
@sinonjs_commons,lib/class-name.ts,0
@sinonjs_commons,lib/deprecated.ts,0
@sinonjs_commons,lib/every.ts,1
@sinonjs_commons,lib/function-name.ts,1
@sinonjs_commons,lib/global.ts,0
@sinonjs_commons,lib/index.ts,0
@sinonjs_commons,lib/order-by-first-call.ts,0
@sinonjs_commons,lib/prototypes/array.ts,0
@sinonjs_commons,lib/prototypes/copy-prototype.ts,0
@sinonjs_commons,lib/prototypes/function.ts,0
@sinonjs_commons,lib/prototypes/index.ts,0
@sinonjs_commons,lib/prototypes/map.ts,0
@sinonjs_commons,lib/prototypes/object.ts,0
@sinonjs_commons,lib/prototypes/set.ts,0
@sinonjs_commons,lib/prototypes/string.ts,0
@sinonjs_commons,lib/type-of.ts,0
@sinonjs_commons,lib/value-to-string.ts,0
accepts,index.ts,4
anymatch,examples.ts,2
anymatch,index.ts,0
are-we-there-yet,.commitlintrc.ts,0
are-we-there-yet,.eslintrc.ts,0
are-we-there-yet,lib/index.ts,0
are-we-there-yet,lib/tracker-base.ts,0
are-we-there-yet,lib/tracker-group.ts,8
are-we-there-yet,lib/tracker-stream.ts,2
are-we-there-yet,lib/tracker.ts,5
asn1,lib/ber/errors.ts,1
asn1,lib/ber/index.ts,2
asn1,lib/ber/reader.ts,3
asn1,lib/ber/types.ts,0
asn1,lib/ber/writer.ts,35
asn1,lib/index.ts,0
axios,bin/ssl_hotfix.ts,0
axios,dist/axios.min.ts,0
axios,dist/axios.ts,1
axios,dist/esm/axios.min.ts,0
axios,dist/esm/axios.ts,1
axios,examples/get/server.ts,0
axios,examples/post/server.ts,0
axios,examples/postMultipartFormData/server.ts,0
axios,examples/server.ts,0
axios,examples/upload/server.ts,0
axios,gulpfile.ts,1
axios,index.ts,0
axios,lib/adapters/http.ts,0
axios,lib/adapters/index.ts,0
axios,lib/adapters/xhr.ts,0
axios,lib/axios.ts,0
axios,lib/cancel/CancelToken.ts,0
axios,lib/cancel/CanceledError.ts,0
axios,lib/cancel/isCancel.ts,0
axios,lib/core/Axios.ts,0
axios,lib/core/AxiosError.ts,0
axios,lib/core/AxiosHeaders.ts,0
axios,lib/core/InterceptorManager.ts,0
axios,lib/core/buildFullPath.ts,0
axios,lib/core/dispatchRequest.ts,0
axios,lib/core/mergeConfig.ts,0
axios,lib/core/settle.ts,0
axios,lib/core/transformData.ts,0
axios,lib/defaults/index.ts,0
axios,lib/defaults/transitional.ts,0
axios,lib/env/classes/FormData.ts,0
axios,lib/env/data.ts,0
axios,lib/helpers/AxiosTransformStream.ts,0
axios,lib/helpers/AxiosURLSearchParams.ts,0
axios,lib/helpers/bind.ts,0
axios,lib/helpers/buildURL.ts,0
axios,lib/helpers/combineURLs.ts,0
axios,lib/helpers/cookies.ts,0
axios,lib/helpers/deprecatedMethod.ts,0
axios,lib/helpers/formDataToJSON.ts,0
axios,lib/helpers/fromDataURI.ts,0
axios,lib/helpers/isAbsoluteURL.ts,0
axios,lib/helpers/isAxiosError.ts,0
axios,lib/helpers/isURLSameOrigin.ts,0
