Package,File,"Number of errors"
@gar_promisify,index.ts,1
@humanwhocodes_object-schema,.eslintrc.ts,0
@humanwhocodes_object-schema,src/index.ts,0
@humanwhocodes_object-schema,src/merge-strategy.ts,0
@humanwhocodes_object-schema,src/object-schema.ts,3
@humanwhocodes_object-schema,src/validation-strategy.ts,0
@istanbuljs_schema,default-exclude.ts,0
@istanbuljs_schema,default-extension.ts,0
@istanbuljs_schema,index.ts,1
@sellside_emitter,examples.ts,4
@sellside_emitter,index.ts,27
@trysound_sax,examples/example.ts,3
@trysound_sax,examples/get-products.ts,5
@trysound_sax,examples/hello-world.ts,2
@trysound_sax,examples/pretty-print.ts,3
@trysound_sax,lib/sax.ts,190
acorn-import-assertions,post-build.ts,0
acorn-import-assertions,src/index.ts,95
aproba,index.ts,22
arr-flatten,benchmark/check.ts,6
arr-flatten,benchmark/code/arr-flatten-0.1.0 (do-while).ts,0
arr-flatten,benchmark/code/arr-flatten-0.2.0.ts,2
arr-flatten,benchmark/code/arr-flatten-1.0.1.ts,0
arr-flatten,benchmark/code/compute-flatten.ts,0
arr-flatten,benchmark/code/do-while-slice.ts,1
arr-flatten,benchmark/code/flatit.ts,0
arr-flatten,benchmark/code/flatten-array.ts,0
arr-flatten,benchmark/code/flatten.ts,0
arr-flatten,benchmark/code/just-flatten-it.ts,0
arr-flatten,benchmark/code/lib-array-flatten.ts,0
arr-flatten,benchmark/code/lodash.flattendeep.ts,0
arr-flatten,benchmark/code/m_flattened.ts,0
arr-flatten,benchmark/code/utils-flatten.ts,0
arr-flatten,benchmark/fixtures/med.ts,0
arr-flatten,benchmark/fixtures/small-med.ts,0
arr-flatten,benchmark/fixtures/small.ts,0
arr-flatten,benchmark/index.ts,1
arr-flatten,benchmark/libs.ts,1
arr-flatten,index.ts,2
assign-symbols,example.ts,0
assign-symbols,index.ts,1
async-each,index.ts,6
async-limiter,example/index.ts,1
async-limiter,index.ts,0
asynckit,bench.ts,5
asynckit,index.ts,0
asynckit,lib/abort.ts,1
asynckit,lib/async.ts,0
asynckit,lib/defer.ts,0
asynckit,lib/iterate.ts,8
asynckit,lib/readable_asynckit.ts,1
asynckit,lib/readable_parallel.ts,2
asynckit,lib/readable_serial.ts,2
asynckit,lib/readable_serial_ordered.ts,3
asynckit,lib/state.ts,4
asynckit,lib/streamify.ts,2
asynckit,lib/terminator.ts,0
asynckit,parallel.ts,3
asynckit,serial.ts,1
asynckit,serialOrdered.ts,4
asynckit,stream.ts,0
at-least-node,index.ts,0
available-typed-arrays,index.ts,0
aws-sign2,index.ts,8
buffer-equal-constant-time,index.ts,3
builtin-status-codes,browser.ts,0
builtin-status-codes,build.ts,0
builtin-status-codes,index.ts,0
cli-width,index.ts,0
code-point-at,index.ts,0
console-browserify,index.ts,5
console-control-strings,index.ts,1
copy-descriptor,examples/proto.ts,1
copy-descriptor,index.ts,1
core-util-is,lib/util.ts,6
cyclist,index.ts,2
deep-is,example/cmp.ts,2
deep-is,index.ts,3
delayed-stream,lib/delayed_stream.ts,2
domain-browser,source/index.ts,1
duplexer,index.ts,5
electron-to-chromium,automated-update.ts,24
electron-to-chromium,build.ts,2
electron-to-chromium,chromium-versions.ts,0
electron-to-chromium,full-chromium-versions.ts,0
electron-to-chromium,full-versions.ts,0
electron-to-chromium,index.ts,7
electron-to-chromium,versions.ts,0
emojis-list,index.ts,0
emojis-list,update.ts,5
es-module-lexer,bench/index.ts,0
es-module-lexer,lexer.ts,0
es-module-lexer,lib/lexer.asm.ts,1
es-module-lexer,lib/lexer.emcc.asm.ts,0
es-module-lexer,src/lexer.asm.ts,1
es6-object-assign,auto.ts,0
es6-object-assign,dist/object-assign-auto.min.ts,5
es6-object-assign,dist/object-assign-auto.ts,6
es6-object-assign,dist/object-assign.min.ts,13
es6-object-assign,dist/object-assign.ts,11
es6-object-assign,index.ts,0
figgy-pudding,index.ts,23
for-in,index.ts,0
fs-constants,browser.ts,0
fs-constants,index.ts,0
fs-monkey,demo/fs-1.ts,0
fs-monkey,demo/require-1.ts,0
fs-monkey,demo/require-2.ts,0
fs-monkey,demo/yolo-1.ts,0
fs-monkey,src/correctPath.ts,1
fs-monkey,src/index.ts,0
fs-monkey,src/patchFs.ts,1
fs-monkey,src/patchRequire.ts,2
fs-monkey,src/util/lists.ts,0
fs.realpath,.github/workflows/package-json-repo.ts,0
fs.realpath,index.ts,8
fs.realpath,old.ts,11
growly,example/bakery.ts,1
growly,example/simple.ts,0
growly,lib/gntp.ts,12
growly,lib/growly.ts,15
har-schema,lib/index.ts,0
has-bigints,index.ts,0
has-unicode,index.ts,0
infer-owner,index.ts,0
is-accessor-descriptor,index.ts,0
is-arrayish,index.ts,0
is-descriptor,index.ts,0
is-extglob,index.ts,0
is-map,index.ts,0
is-negative-zero,index.ts,0
is-potential-custom-element-name,build.ts,0
is-potential-custom-element-name,index.ts,0
is-primitive,bench.ts,2
is-primitive,index.ts,0
is-set,index.ts,1
is-weakmap,index.ts,0
json-parse-even-better-errors,index.ts,2
json-stable-stringify-without-jsonify,example/key_cmp.ts,2
json-stable-stringify-without-jsonify,example/nested.ts,1
json-stable-stringify-without-jsonify,example/str.ts,1
json-stable-stringify-without-jsonify,example/value_cmp.ts,2
json-stable-stringify-without-jsonify,index.ts,0
map-cache,index.ts,2
mdn-data,api/index.ts,0
mdn-data,css/index.ts,0
mdn-data,index.ts,0
mdn-data,l10n/index.ts,0
minimalistic-crypto-utils,lib/utils.ts,6
mixin-deep,index.ts,0
nan,examples/async_pi_estimate/addon.ts,3
nan,include_dirs.ts,0
nan,tools/1to2.ts,7
node-domexception,index.ts,1
node-modules-regexp,build-string.ts,0
node-modules-regexp,index.ts,0
node-modules-regexp,string.ts,0
normalize-range,index.ts,2
oauth-sign,index.ts,14
os-browserify,browser.ts,0
os-browserify,main.ts,0
path-dirname,index.ts,2
pop-iterate,array-iterator.ts,2
pop-iterate,iteration.ts,0
pop-iterate,object-iterator.ts,1
pop-iterate,pop-iterate.ts,5
posix-character-classes,index.ts,0
process,browser.ts,25
process,index.ts,0
process-nextick-args,index.ts,2
prr,prr.ts,1
pseudomap,.github/workflows/package-json-repo.ts,0
