Package,File,"Number of errors"
@npmcli_move-file,.commitlintrc.ts,0
@npmcli_move-file,.eslintrc.ts,3
@npmcli_move-file,lib/index.ts,22
asn1.js,lib/asn1/api.ts,NA
asn1.js,lib/asn1/base/buffer.ts,NA
asn1.js,lib/asn1/base/index.ts,NA
asn1.js,lib/asn1/base/node.ts,NA
asn1.js,lib/asn1/base/reporter.ts,NA
asn1.js,lib/asn1/constants/der.ts,NA
asn1.js,lib/asn1/constants/index.ts,NA
asn1.js,lib/asn1/decoders/index.ts,NA
asn1.js,lib/asn1/decoders/pem.ts,NA
asn1.js,lib/asn1/encoders/index.ts,NA
asn1.js,lib/asn1/encoders/pem.ts,NA
asn1.js,lib/asn1.ts,NA
asn1.js,rfc/2560/index.ts,NA
asn1.js,rfc/5280/index.ts,NA
browserify-zlib,src/binding.ts,0
browserify-zlib,src/index.ts,8
create-ecdh,browser.ts,1
create-ecdh,index.ts,0
des.js,lib/des/cipher.ts,0
des.js,lib/des/des.ts,1
des.js,lib/des/ede.ts,1
des.js,lib/des/utils.ts,0
des.js,lib/des.ts,0
ecc-jsbn,lib/ec.ts,1
ecc-jsbn,lib/sec.ts,0
for-each,index.ts,11
get-symbol-description,index.ts,0
jsprim,lib/jsprim.ts,57
levn,lib/cast.ts,3
levn,lib/index.ts,0
levn,lib/parse-string.ts,2
miller-rabin,lib/mr.ts,1
request-promise-core,lib/errors.ts,1
request-promise-core,lib/plumbing.ts,1
snapdragon-util,index.ts,2
source-map-resolve,index.ts,7
string.prototype.trimend,index.ts,0
string.prototype.trimend,polyfill.ts,0
string.prototype.trimend,shim.ts,0
timers-browserify,main.ts,9
