Package,File,"Number of errors"
@xtuc_long,index.ts,407
abab,index.ts,0
abab,karma.conf.ts,2
abab,lib/atob.ts,14
abab,lib/btoa.ts,14
abbrev,abbrev.ts,4
acorn,.eslintrc.ts,0
acorn,acorn/rollup.config.ts,1
acorn,acorn/src/bin/acorn.ts,22
acorn,acorn/src/expression.ts,397
acorn,acorn/src/generated/astralIdentifierCodes.ts,0
acorn,acorn/src/generated/astralIdentifierStartCodes.ts,0
acorn,acorn/src/generated/nonASCIIidentifierChars.ts,0
acorn,acorn/src/generated/nonASCIIidentifierStartChars.ts,0
acorn,acorn/src/identifier.ts,9
acorn,acorn/src/index.ts,4
acorn,acorn/src/location.ts,7
acorn,acorn/src/locutil.ts,11
acorn,acorn/src/lval.ts,82
acorn,acorn/src/node.ts,17
acorn,acorn/src/options.ts,28
acorn,acorn/src/parseutil.ts,34
acorn,acorn/src/regexp.ts,313
acorn,acorn/src/scope.ts,37
acorn,acorn/src/scopeflags.ts,6
acorn,acorn/src/state.ts,93
acorn,acorn/src/statement.ts,419
acorn,acorn/src/tokencontext.ts,90
acorn,acorn/src/tokenize.ts,202
acorn,acorn/src/tokentype.ts,22
acorn,acorn/src/unicode-property-data.ts,16
acorn,acorn/src/util.ts,8
acorn,acorn/src/whitespace.ts,11
acorn,acorn-loose/node_modules/acorn/rollup.config.ts,1
acorn,acorn-loose/node_modules/acorn/src/bin/acorn.ts,7
acorn,acorn-loose/node_modules/acorn/src/expression.ts,41
acorn,acorn-loose/node_modules/acorn/src/generated/astralIdentifierCodes.ts,0
acorn,acorn-loose/node_modules/acorn/src/generated/astralIdentifierStartCodes.ts,0
acorn,acorn-loose/node_modules/acorn/src/generated/nonASCIIidentifierChars.ts,0
acorn,acorn-loose/node_modules/acorn/src/generated/nonASCIIidentifierStartChars.ts,0
acorn,acorn-loose/node_modules/acorn/src/identifier.ts,0
acorn,acorn-loose/node_modules/acorn/src/index.ts,1
acorn,acorn-loose/node_modules/acorn/src/location.ts,9
acorn,acorn-loose/node_modules/acorn/src/locutil.ts,7
acorn,acorn-loose/node_modules/acorn/src/lval.ts,11
acorn,acorn-loose/node_modules/acorn/src/node.ts,12
acorn,acorn-loose/node_modules/acorn/src/options.ts,19
acorn,acorn-loose/node_modules/acorn/src/parseutil.ts,20
acorn,acorn-loose/node_modules/acorn/src/regexp.ts,87
acorn,acorn-loose/node_modules/acorn/src/scope.ts,13
acorn,acorn-loose/node_modules/acorn/src/scopeflags.ts,0
acorn,acorn-loose/node_modules/acorn/src/state.ts,77
acorn,acorn-loose/node_modules/acorn/src/statement.ts,53
acorn,acorn-loose/node_modules/acorn/src/tokencontext.ts,30
acorn,acorn-loose/node_modules/acorn/src/tokenize.ts,44
acorn,acorn-loose/node_modules/acorn/src/tokentype.ts,19
