Source directory: .
Dataset: top1k-typed-nodeps-es6
Type checking with: /work/arjunguha-research-group/mhyee/not-type-inference/tools/node_modules/typescript/bin/tsc
Input directory: /work/arjunguha-research-group/mhyee/not-type-inference/data/LambdaNet-out/top1k-typed-nodeps-es6/baseline
Output directory: /work/arjunguha-research-group/mhyee/not-type-inference/data/LambdaNet-out/top1k-typed-nodeps-es6/baseline-checked
Found 248 packages
[1/248] @xtuc_long ... [FAIL]
[2/248] abab ... [FAIL]
[3/248] abbrev ... [FAIL]
[4/248] acorn ... [FAIL]
[5/248] acorn-jsx ... [FAIL]
[6/248] ansi-colors ... [FAIL]
[7/248] ansi-regex ... [FAIL]
[8/248] ansi-styles ... [FAIL]
[9/248] argparse ... [FAIL]
[10/248] arr-diff ... [FAIL]
[11/248] arr-union ... [FAIL]
[12/248] array-union ... [ OK ]
[13/248] array-uniq ... [FAIL]
[14/248] array-unique ... [FAIL]
[15/248] arrify ... [FAIL]
[16/248] assert-plus ... [FAIL]
[17/248] astral-regex ... [FAIL]
[18/248] atob ... [FAIL]
[19/248] aws4 ... [FAIL]
[20/248] balanced-match ... [FAIL]
[21/248] base64-js ... [FAIL]
[22/248] boolbase ... [ OK ]
[23/248] brorand ... [FAIL]
[24/248] buffer-crc32 ... [FAIL]
[25/248] buffer-from ... [FAIL]
[26/248] bytes ... [FAIL]
[27/248] cacheable-lookup ... [FAIL]
[28/248] callsites ... [FAIL]
[29/248] camelcase ... [FAIL]
[30/248] chownr ... [FAIL]
[31/248] ci-info ... [FAIL]
[32/248] cjs-module-lexer ... [FAIL]
[33/248] clone ... [FAIL]
[34/248] co ... [FAIL]
[35/248] collect-v8-coverage ... [FAIL]
[36/248] color-support ... [FAIL]
[37/248] colorette ... [FAIL]
[38/248] colors ... [FAIL]
[39/248] content-type ... [FAIL]
[40/248] cookie ... [FAIL]
[41/248] cookie-signature ... [FAIL]
[42/248] create-require ... [FAIL]
[43/248] cssesc ... [FAIL]
[44/248] cssom ... [FAIL]
[45/248] decamelize ... [FAIL]
[46/248] decimal.js ... [FAIL]
[47/248] decode-uri-component ... [FAIL]
[48/248] dedent ... [FAIL]
[49/248] deepmerge ... [FAIL]
[50/248] define-lazy-prop ... [FAIL]
[51/248] delegates ... [FAIL]
[52/248] depd ... [FAIL]
[53/248] destroy ... [FAIL]
[54/248] detect-newline ... [FAIL]
[55/248] diff ... [FAIL]
[56/248] dotenv ... [FAIL]
[57/248] duplexer3 ... [FAIL]
[58/248] ee-first ... [FAIL]
[59/248] emittery ... [FAIL]
[60/248] emoji-regex ... [FAIL]
[61/248] encodeurl ... [FAIL]
[62/248] escalade ... [FAIL]
[63/248] escape-html ... [FAIL]
[64/248] escape-string-regexp ... [ OK ]
[65/248] eslint-visitor-keys ... [FAIL]
[66/248] estraverse ... [FAIL]
[67/248] esutils ... [FAIL]
[68/248] etag ... [FAIL]
[69/248] eventemitter3 ... [FAIL]
[70/248] events ... [FAIL]
[71/248] eventsource ... [FAIL]
[72/248] exec-sh ... [FAIL]
[73/248] exit ... [FAIL]
[74/248] extend ... [FAIL]
[75/248] extsprintf ... [FAIL]
[76/248] fast-deep-equal ... [FAIL]
[77/248] fast-json-stable-stringify ... [FAIL]
[78/248] filter-obj ... [FAIL]
[79/248] flatted ... [FAIL]
[80/248] follow-redirects ... [FAIL]
[81/248] forwarded ... [FAIL]
[82/248] fraction.js ... [FAIL]
[83/248] fresh ... [FAIL]
[84/248] fsevents ... [FAIL]
[85/248] function-bind ... [FAIL]
[86/248] functional-red-black-tree ... [FAIL]
[87/248] gensync ... [FAIL]
[88/248] get-stdin ... [FAIL]
[89/248] get-stream ... [FAIL]
[90/248] glob-to-regexp ... [FAIL]
[91/248] graceful-fs ... [FAIL]
[92/248] hard-rejection ... [FAIL]
[93/248] has-flag ... [FAIL]
[94/248] html-escaper ... [FAIL]
[95/248] http-cache-semantics ... [FAIL]
[96/248] human-signals ... [FAIL]
[97/248] icss-utils ... [FAIL]
[98/248] ieee754 ... [FAIL]
[99/248] iferr ... [FAIL]
[100/248] ignore ... [FAIL]
[101/248] import-from ... [FAIL]
[102/248] import-lazy ... [FAIL]
[103/248] imurmurhash ... [FAIL]
[104/248] indent-string ... [FAIL]
[105/248] inherits ... [FAIL]
[106/248] interpret ... [FAIL]
[107/248] ip ... [FAIL]
[108/248] ip-regex ... [FAIL]
[109/248] ipaddr.js ... [FAIL]
[110/248] is-absolute-url ... [ OK ]
[111/248] is-buffer ... [FAIL]
[112/248] is-callable ... [FAIL]
[113/248] is-directory ... [FAIL]
[114/248] is-docker ... [ OK ]
[115/248] is-fullwidth-code-point ... [ OK ]
[116/248] is-generator-fn ... [ OK ]
[117/248] is-interactive ... [FAIL]
[118/248] is-number ... [FAIL]
[119/248] is-obj ... [ OK ]
[120/248] is-path-cwd ... [FAIL]
[121/248] is-path-inside ... [FAIL]
[122/248] is-plain-object ... [FAIL]
[123/248] is-stream ... [FAIL]
[124/248] is-typedarray ... [FAIL]
[125/248] is-unicode-supported ... [ OK ]
[126/248] is-windows ... [FAIL]
[127/248] isobject ... [ OK ]
[128/248] isstream ... [FAIL]
[129/248] jest-pnp-resolver ... [FAIL]
[130/248] jquery ... [FAIL]
[131/248] jsbn ... [FAIL]
[132/248] jsesc ... [FAIL]
[133/248] json-buffer ... [FAIL]
[134/248] json-parse-better-errors ... [FAIL]
[135/248] json-schema ... [FAIL]
[136/248] json-schema-traverse ... [FAIL]
[137/248] json-stringify-safe ... [FAIL]
[138/248] kind-of ... [FAIL]
[139/248] kleur ... [FAIL]
[140/248] klona ... [FAIL]
[141/248] leven ... [FAIL]
[142/248] load-json-file ... [FAIL]
[143/248] loader-runner ... [FAIL]
[144/248] lodash ... [FAIL]
[145/248] loglevel ... [FAIL]
[146/248] lowercase-keys ... [ OK ]
[147/248] make-error ... [FAIL]
[148/248] map-obj ... [FAIL]
[149/248] media-typer ... [FAIL]
[150/248] merge-descriptors ... [FAIL]
[151/248] merge-stream ... [FAIL]
[152/248] merge2 ... [FAIL]
[153/248] methods ... [FAIL]
[154/248] mime ... [FAIL]
[155/248] mime-db ... [FAIL]
[156/248] mimic-fn ... [FAIL]
[157/248] mimic-response ... [FAIL]
[158/248] min-indent ... [FAIL]
[159/248] minimalistic-assert ... [FAIL]
[160/248] mkdirp ... [FAIL]
[161/248] mute-stream ... [FAIL]
[162/248] nanocolors ... [FAIL]
[163/248] nanoid ... [FAIL]
[164/248] natural-compare ... [FAIL]
[165/248] negotiator ... [FAIL]
[166/248] nice-try ... [FAIL]
[167/248] node-int64 ... [FAIL]
[168/248] normalize-path ... [FAIL]
[169/248] normalize-url ... [FAIL]
[170/248] number-is-nan ... [ OK ]
[171/248] nwsapi ... [FAIL]
[172/248] object-assign ... [FAIL]
[173/248] object-inspect ... [FAIL]
[174/248] object-keys ... [FAIL]
[175/248] on-headers ... [FAIL]
[176/248] os-homedir ... [FAIL]
[177/248] os-tmpdir ... [FAIL]
[178/248] p-each-series ... [FAIL]
[179/248] p-try ... [FAIL]
[180/248] parseurl ... [FAIL]
[181/248] path-browserify ... [FAIL]
[182/248] path-exists ... [FAIL]
[183/248] path-is-absolute ... [FAIL]
[184/248] path-is-inside ... [FAIL]
[185/248] path-key ... [FAIL]
[186/248] path-parse ... [FAIL]
[187/248] path-type ... [FAIL]
[188/248] picomatch ... [FAIL]
[189/248] pify ... [FAIL]
[190/248] postcss-modules-extract-imports ... [FAIL]
[191/248] postcss-value-parser ... [FAIL]
[192/248] prelude-ls ... [FAIL]
[193/248] prepend-http ... [FAIL]
[194/248] progress ... [FAIL]
[195/248] punycode ... [FAIL]
[196/248] queue-microtask ... [FAIL]
[197/248] range-parser ... [FAIL]
[198/248] regenerate ... [FAIL]
[199/248] regexp-tree ... [FAIL]
[200/248] repeat-element ... [FAIL]
[201/248] repeat-string ... [FAIL]
[202/248] require-directory ... [FAIL]
[203/248] requires-port ... [ OK ]
[204/248] resolve-from ... [FAIL]
[205/248] retry ... [FAIL]
[206/248] rsvp ... [FAIL]
[207/248] safe-buffer ... [FAIL]
[208/248] safer-buffer ... [FAIL]
[209/248] sax ... [FAIL]
[210/248] setimmediate ... [FAIL]
[211/248] setprototypeof ... [FAIL]
[212/248] shebang-regex ... [ OK ]
[213/248] sisteransi ... [FAIL]
[214/248] slash ... [FAIL]
[215/248] source-list-map ... [FAIL]
[216/248] split-on-first ... [FAIL]
[217/248] split-string ... [FAIL]
[218/248] sprintf-js ... [FAIL]
[219/248] stable ... [FAIL]
[220/248] statuses ... [FAIL]
[221/248] stream-shift ... [FAIL]
[222/248] strict-uri-encode ... [FAIL]
[223/248] strip-bom ... [FAIL]
[224/248] strip-final-newline ... [FAIL]
[225/248] strip-json-comments ... [FAIL]
[226/248] symbol-observable ... [FAIL]
[227/248] symbol-tree ... [FAIL]
[228/248] tapable ... [FAIL]
[229/248] throat ... [FAIL]
[230/248] through ... [FAIL]
[231/248] tmpl ... [FAIL]
[232/248] to-fast-properties ... [FAIL]
[233/248] trim-newlines ... [FAIL]
[234/248] tslib ... [FAIL]
[235/248] tweetnacl ... [FAIL]
[236/248] type ... [FAIL]
[237/248] typedarray-to-buffer ... [FAIL]
[238/248] universalify ... [FAIL]
[239/248] urix ... [ OK ]
[240/248] util-deprecate ... [FAIL]
[241/248] utils-merge ... [ OK ]
[242/248] uuid ... [FAIL]
[243/248] vary ... [FAIL]
[244/248] webidl-conversions ... [FAIL]
[245/248] webpack-sources ... [FAIL]
[246/248] whatwg-mimetype ... [FAIL]
[247/248] yallist ... [FAIL]
[248/248] yn ... [FAIL]
Number of successes: 16
Number of fails: 232
Number of skips: 0
Time for type checking: 0:01:27
