Package,File,"Number of errors"
@xtuc_long,index.ts,621
abab,index.ts,2
abab,karma.conf.ts,2
abab,lib/atob.ts,18
abab,lib/btoa.ts,17
abbrev,abbrev.ts,5
acorn,.eslintrc.ts,0
acorn,acorn/rollup.config.ts,1
acorn,acorn/src/bin/acorn.ts,26
acorn,acorn/src/expression.ts,987
acorn,acorn/src/generated/astralIdentifierCodes.ts,0
acorn,acorn/src/generated/astralIdentifierStartCodes.ts,0
acorn,acorn/src/generated/nonASCIIidentifierChars.ts,0
acorn,acorn/src/generated/nonASCIIidentifierStartChars.ts,0
acorn,acorn/src/identifier.ts,10
acorn,acorn/src/index.ts,4
acorn,acorn/src/location.ts,7
acorn,acorn/src/locutil.ts,17
acorn,acorn/src/lval.ts,161
acorn,acorn/src/node.ts,24
acorn,acorn/src/options.ts,32
acorn,acorn/src/parseutil.ts,42
acorn,acorn/src/regexp.ts,405
acorn,acorn/src/scope.ts,59
acorn,acorn/src/scopeflags.ts,6
acorn,acorn/src/state.ts,107
acorn,acorn/src/statement.ts,915
acorn,acorn/src/tokencontext.ts,103
acorn,acorn/src/tokenize.ts,682
acorn,acorn/src/tokentype.ts,23
acorn,acorn/src/unicode-property-data.ts,17
acorn,acorn/src/util.ts,9
acorn,acorn/src/whitespace.ts,11
acorn,acorn-loose/rollup.config.ts,1
acorn,acorn-loose/src/expression.ts,128
acorn,acorn-loose/src/index.ts,3
acorn,acorn-loose/src/parseutil.ts,1
acorn,acorn-loose/src/state.ts,102
acorn,acorn-loose/src/statement.ts,77
acorn,acorn-loose/src/tokenize.ts,84
acorn,acorn-walk/rollup.config.ts,1
acorn,acorn-walk/src/index.ts,171
acorn,bin/generate-identifier-regex.ts,35
acorn,bin/run_test262.ts,10
acorn-jsx,index.ts,254
acorn-jsx,xhtml.ts,0
ansi-colors,bench/colors.ts,65
ansi-colors,bench/dryrun.ts,88
ansi-colors,bench/index.ts,0
ansi-colors,bench/load-ansi-colors.ts,0
ansi-colors,bench/load-chalk.ts,0
ansi-colors,examples/alias.ts,6
ansi-colors,examples/chained.ts,16
ansi-colors,examples/colors.ts,7
ansi-colors,examples/nested.ts,80
ansi-colors,examples/nesting-bug.ts,8
