Source directory: .
Dataset: top1k-typed-nodeps
Type checking with: /work/arjunguha-research-group/mhyee/not-type-inference/tools/node_modules/typescript/bin/tsc
Input directory: /work/arjunguha-research-group/mhyee/not-type-inference/data/LambdaNet-out/top1k-typed-nodeps/baseline
Output directory: /work/arjunguha-research-group/mhyee/not-type-inference/data/LambdaNet-out/top1k-typed-nodeps/baseline-checked
Found 241 packages
[1/241] @xtuc_long ... [FAIL]
[2/241] abab ... [FAIL]
[3/241] abbrev ... [FAIL]
[4/241] acorn-jsx ... [FAIL]
[5/241] ansi-colors ... [FAIL]
[6/241] ansi-regex ... [FAIL]
[7/241] ansi-styles ... [FAIL]
[8/241] argparse ... [FAIL]
[9/241] arr-diff ... [FAIL]
[10/241] arr-union ... [FAIL]
[11/241] array-union ... [ OK ]
[12/241] array-uniq ... [FAIL]
[13/241] array-unique ... [FAIL]
[14/241] arrify ... [FAIL]
[15/241] assert-plus ... [FAIL]
[16/241] astral-regex ... [FAIL]
[17/241] balanced-match ... [FAIL]
[18/241] base64-js ... [FAIL]
[19/241] boolbase ... [ OK ]
[20/241] brorand ... [FAIL]
[21/241] buffer-crc32 ... [FAIL]
[22/241] buffer-from ... [FAIL]
[23/241] bytes ... [FAIL]
[24/241] cacheable-lookup ... [FAIL]
[25/241] callsites ... [FAIL]
[26/241] camelcase ... [FAIL]
[27/241] clone ... [FAIL]
[28/241] co ... [FAIL]
[29/241] collect-v8-coverage ... [FAIL]
[30/241] color-support ... [FAIL]
[31/241] colorette ... [FAIL]
[32/241] colors ... [FAIL]
[33/241] content-type ... [FAIL]
[34/241] cookie ... [FAIL]
[35/241] cookie-signature ... [FAIL]
[36/241] create-require ... [FAIL]
[37/241] cssesc ... [FAIL]
[38/241] cssom ... [FAIL]
[39/241] decamelize ... [FAIL]
[40/241] decimal.js ... [FAIL]
[41/241] decode-uri-component ... [FAIL]
[42/241] dedent ... [FAIL]
[43/241] deepmerge ... [FAIL]
[44/241] define-lazy-prop ... [FAIL]
[45/241] delegates ... [FAIL]
[46/241] depd ... [FAIL]
[47/241] destroy ... [FAIL]
[48/241] detect-newline ... [FAIL]
[49/241] diff ... [FAIL]
[50/241] dotenv ... [FAIL]
[51/241] duplexer3 ... [FAIL]
[52/241] ee-first ... [FAIL]
[53/241] emittery ... [FAIL]
[54/241] emoji-regex ... [FAIL]
[55/241] encodeurl ... [FAIL]
[56/241] escalade ... [FAIL]
[57/241] escape-html ... [FAIL]
[58/241] escape-string-regexp ... [ OK ]
[59/241] eslint-visitor-keys ... [FAIL]
[60/241] estraverse ... [FAIL]
[61/241] esutils ... [FAIL]
[62/241] etag ... [FAIL]
[63/241] eventemitter3 ... [FAIL]
[64/241] events ... [FAIL]
[65/241] exec-sh ... [FAIL]
[66/241] exit ... [FAIL]
[67/241] extend ... [FAIL]
[68/241] extsprintf ... [FAIL]
[69/241] fast-deep-equal ... [FAIL]
[70/241] fast-json-stable-stringify ... [FAIL]
[71/241] filter-obj ... [FAIL]
[72/241] flatted ... [FAIL]
[73/241] follow-redirects ... [FAIL]
[74/241] forwarded ... [FAIL]
[75/241] fraction.js ... [FAIL]
[76/241] fresh ... [FAIL]
[77/241] fsevents ... [FAIL]
[78/241] function-bind ... [FAIL]
[79/241] functional-red-black-tree ... [FAIL]
[80/241] gensync ... [FAIL]
[81/241] get-stdin ... [FAIL]
[82/241] get-stream ... [FAIL]
[83/241] glob-to-regexp ... [FAIL]
[84/241] graceful-fs ... [FAIL]
[85/241] hard-rejection ... [FAIL]
[86/241] has-flag ... [FAIL]
[87/241] html-escaper ... [FAIL]
[88/241] http-cache-semantics ... [FAIL]
[89/241] human-signals ... [FAIL]
[90/241] icss-utils ... [FAIL]
[91/241] ieee754 ... [FAIL]
[92/241] iferr ... [FAIL]
[93/241] ignore ... [FAIL]
[94/241] import-from ... [FAIL]
[95/241] import-lazy ... [FAIL]
[96/241] imurmurhash ... [FAIL]
[97/241] indent-string ... [FAIL]
[98/241] inherits ... [FAIL]
[99/241] interpret ... [FAIL]
[100/241] ip ... [FAIL]
[101/241] ip-regex ... [FAIL]
[102/241] ipaddr.js ... [FAIL]
[103/241] is-absolute-url ... [ OK ]
[104/241] is-buffer ... [FAIL]
[105/241] is-callable ... [FAIL]
[106/241] is-directory ... [FAIL]
[107/241] is-docker ... [ OK ]
[108/241] is-fullwidth-code-point ... [ OK ]
[109/241] is-generator-fn ... [ OK ]
[110/241] is-interactive ... [FAIL]
[111/241] is-number ... [FAIL]
[112/241] is-obj ... [ OK ]
[113/241] is-path-cwd ... [FAIL]
[114/241] is-path-inside ... [FAIL]
[115/241] is-plain-object ... [FAIL]
[116/241] is-promise ... [FAIL]
[117/241] is-stream ... [FAIL]
[118/241] is-typedarray ... [FAIL]
[119/241] is-unicode-supported ... [ OK ]
[120/241] is-windows ... [FAIL]
[121/241] isobject ... [ OK ]
[122/241] isstream ... [FAIL]
[123/241] jest-pnp-resolver ... [FAIL]
[124/241] jsbn ... [FAIL]
[125/241] jsesc ... [FAIL]
[126/241] json-buffer ... [FAIL]
[127/241] json-parse-better-errors ... [FAIL]
[128/241] json-schema ... [FAIL]
[129/241] json-schema-traverse ... [FAIL]
[130/241] json-stringify-safe ... [FAIL]
[131/241] kind-of ... [FAIL]
[132/241] kleur ... [FAIL]
[133/241] klona ... [FAIL]
[134/241] leven ... [FAIL]
[135/241] load-json-file ... [FAIL]
[136/241] loader-runner ... [FAIL]
[137/241] lodash ... [FAIL]
[138/241] loglevel ... [FAIL]
[139/241] lowercase-keys ... [ OK ]
[140/241] make-error ... [FAIL]
[141/241] map-obj ... [FAIL]
[142/241] media-typer ... [FAIL]
[143/241] merge-descriptors ... [FAIL]
[144/241] merge-stream ... [FAIL]
[145/241] merge2 ... [FAIL]
[146/241] methods ... [FAIL]
[147/241] mime ... [FAIL]
[148/241] mime-db ... [FAIL]
[149/241] mimic-fn ... [FAIL]
[150/241] mimic-response ... [FAIL]
[151/241] min-indent ... [FAIL]
[152/241] minimalistic-assert ... [FAIL]
[153/241] mkdirp ... [FAIL]
[154/241] mute-stream ... [FAIL]
[155/241] nanocolors ... [FAIL]
[156/241] nanoid ... [FAIL]
[157/241] natural-compare ... [FAIL]
[158/241] negotiator ... [FAIL]
[159/241] next-tick ... [FAIL]
[160/241] nice-try ... [FAIL]
[161/241] node-int64 ... [FAIL]
[162/241] normalize-path ... [FAIL]
[163/241] normalize-url ... [FAIL]
[164/241] number-is-nan ... [ OK ]
[165/241] nwsapi ... [FAIL]
[166/241] object-assign ... [FAIL]
[167/241] object-inspect ... [FAIL]
[168/241] object-keys ... [FAIL]
[169/241] on-headers ... [FAIL]
[170/241] os-homedir ... [FAIL]
[171/241] os-tmpdir ... [FAIL]
[172/241] p-each-series ... [FAIL]
[173/241] p-try ... [FAIL]
[174/241] parseurl ... [FAIL]
[175/241] path-browserify ... [FAIL]
[176/241] path-exists ... [FAIL]
[177/241] path-is-absolute ... [FAIL]
[178/241] path-is-inside ... [FAIL]
[179/241] path-key ... [FAIL]
[180/241] path-parse ... [FAIL]
[181/241] path-type ... [FAIL]
[182/241] picomatch ... [FAIL]
[183/241] pify ... [FAIL]
[184/241] postcss-modules-extract-imports ... [FAIL]
[185/241] postcss-value-parser ... [FAIL]
[186/241] prelude-ls ... [FAIL]
[187/241] prepend-http ... [FAIL]
[188/241] progress ... [FAIL]
[189/241] punycode ... [FAIL]
[190/241] queue-microtask ... [FAIL]
[191/241] range-parser ... [FAIL]
[192/241] regenerate ... [FAIL]
[193/241] regexp-tree ... [FAIL]
[194/241] repeat-element ... [FAIL]
[195/241] repeat-string ... [FAIL]
[196/241] require-directory ... [FAIL]
[197/241] requires-port ... [ OK ]
[198/241] resolve-from ... [FAIL]
[199/241] retry ... [FAIL]
[200/241] rsvp ... [FAIL]
[201/241] safe-buffer ... [FAIL]
[202/241] safer-buffer ... [FAIL]
[203/241] sax ... [FAIL]
[204/241] setimmediate ... [FAIL]
[205/241] setprototypeof ... [FAIL]
[206/241] shebang-regex ... [ OK ]
[207/241] sisteransi ... [FAIL]
[208/241] slash ... [FAIL]
[209/241] source-list-map ... [FAIL]
[210/241] split-on-first ... [FAIL]
[211/241] split-string ... [FAIL]
[212/241] sprintf-js ... [FAIL]
[213/241] stable ... [FAIL]
[214/241] statuses ... [FAIL]
[215/241] stream-shift ... [FAIL]
[216/241] strict-uri-encode ... [FAIL]
[217/241] strip-bom ... [FAIL]
[218/241] strip-final-newline ... [FAIL]
[219/241] strip-json-comments ... [FAIL]
[220/241] symbol-observable ... [FAIL]
[221/241] symbol-tree ... [FAIL]
[222/241] tapable ... [FAIL]
[223/241] throat ... [FAIL]
[224/241] through ... [FAIL]
[225/241] tmpl ... [FAIL]
[226/241] to-fast-properties ... [FAIL]
[227/241] trim-newlines ... [FAIL]
[228/241] tslib ... [FAIL]
[229/241] type ... [FAIL]
[230/241] typedarray-to-buffer ... [FAIL]
[231/241] universalify ... [FAIL]
[232/241] urix ... [FAIL]
[233/241] util-deprecate ... [FAIL]
[234/241] utils-merge ... [ OK ]
[235/241] uuid ... [FAIL]
[236/241] vary ... [FAIL]
[237/241] webidl-conversions ... [FAIL]
[238/241] webpack-sources ... [FAIL]
[239/241] whatwg-mimetype ... [FAIL]
[240/241] yallist ... [FAIL]
[241/241] yn ... [FAIL]
Number of successes: 15
Number of fails: 226
Number of skips: 0
Time for type checking: 0:00:55
