Package,File,"Number of errors"
@sinonjs_commons,lib/called-in-order.test.ts,57
@sinonjs_commons,lib/called-in-order.ts,15
@sinonjs_commons,lib/class-name.test.ts,14
@sinonjs_commons,lib/class-name.ts,2
@sinonjs_commons,lib/deprecated.test.ts,32
@sinonjs_commons,lib/deprecated.ts,5
@sinonjs_commons,lib/every.test.ts,20
@sinonjs_commons,lib/every.ts,2
@sinonjs_commons,lib/function-name.test.ts,18
@sinonjs_commons,lib/function-name.ts,2
@sinonjs_commons,lib/global.test.ts,5
@sinonjs_commons,lib/global.ts,3
@sinonjs_commons,lib/index.test.ts,8
@sinonjs_commons,lib/index.ts,0
@sinonjs_commons,lib/order-by-first-call.test.ts,12
@sinonjs_commons,lib/order-by-first-call.ts,8
@sinonjs_commons,lib/prototypes/array.ts,0
@sinonjs_commons,lib/prototypes/copy-prototype.ts,4
@sinonjs_commons,lib/prototypes/function.ts,0
@sinonjs_commons,lib/prototypes/index.test.ts,20
@sinonjs_commons,lib/prototypes/index.ts,0
@sinonjs_commons,lib/prototypes/map.ts,0
@sinonjs_commons,lib/prototypes/object.ts,0
@sinonjs_commons,lib/prototypes/set.ts,0
@sinonjs_commons,lib/prototypes/string.ts,0
@sinonjs_commons,lib/type-of.test.ts,21
@sinonjs_commons,lib/type-of.ts,0
@sinonjs_commons,lib/value-to-string.test.ts,8
@sinonjs_commons,lib/value-to-string.ts,0
accepts,index.ts,19
anymatch,examples.ts,3
anymatch,index.ts,17
asn1,lib/ber/errors.ts,1
asn1,lib/ber/index.ts,2
asn1,lib/ber/reader.ts,39
asn1,lib/ber/types.ts,0
asn1,lib/ber/writer.ts,68
asn1,lib/index.ts,0
brace-expansion,bench/bench.ts,4
brace-expansion,example.ts,0
brace-expansion,index.ts,58
braces,bench/index.ts,25
braces,examples/compile.ts,0
braces,examples/expand.ts,4
braces,examples/option-transform.ts,6
braces,examples/parse.ts,0
braces,index.ts,21
braces,lib/compile.ts,29
braces,lib/constants.ts,0
braces,lib/expand.ts,48
braces,lib/parse.ts,87
braces,lib/stringify.ts,13
braces,lib/utils.ts,37
call-bind,callBound.ts,3
call-bind,index.ts,12
color,index.ts,163
color-convert,conversions.ts,516
color-convert,index.ts,22
color-convert,route.ts,29
color-string,index.ts,97
compressible,index.ts,7
compressible,scripts/version-history.ts,12
csso,.gh-pages/libs/base64.ts,59
csso,.gh-pages/libs/cssbeautify.ts,114
csso,.gh-pages/libs/diff.ts,335
csso,lib/clean/Atrule.ts,25
csso,lib/clean/Comment.ts,2
csso,lib/clean/Declaration.ts,8
csso,lib/clean/Raw.ts,4
csso,lib/clean/Rule.ts,42
csso,lib/clean/TypeSelector.ts,10
csso,lib/clean/WhiteSpace.ts,2
csso,lib/clean/index.ts,5
csso,lib/clean/utils.ts,3
csso,lib/compress.ts,54
csso,lib/index.ts,28
csso,lib/replace/Atrule.ts,1
csso,lib/replace/AttributeSelector.ts,7
csso,lib/replace/Dimension.ts,17
csso,lib/replace/Number.ts,10
csso,lib/replace/Percentage.ts,16
csso,lib/replace/Url.ts,2
csso,lib/replace/Value.ts,6
csso,lib/replace/atrule/keyframes.ts,10
csso,lib/replace/color.ts,89
csso,lib/replace/index.ts,5
csso,lib/replace/property/background.ts,13
csso,lib/replace/property/border.ts,9
csso,lib/replace/property/font-weight.ts,8
