Package,File,"Number of errors"
@sinonjs_commons,lib/called-in-order.ts,10
@sinonjs_commons,lib/class-name.ts,0
@sinonjs_commons,lib/deprecated.ts,4
@sinonjs_commons,lib/every.ts,1
@sinonjs_commons,lib/function-name.ts,2
@sinonjs_commons,lib/global.ts,3
@sinonjs_commons,lib/index.ts,0
@sinonjs_commons,lib/order-by-first-call.ts,5
@sinonjs_commons,lib/prototypes/array.ts,0
@sinonjs_commons,lib/prototypes/copy-prototype.ts,4
@sinonjs_commons,lib/prototypes/function.ts,0
@sinonjs_commons,lib/prototypes/index.ts,0
@sinonjs_commons,lib/prototypes/map.ts,0
@sinonjs_commons,lib/prototypes/object.ts,0
@sinonjs_commons,lib/prototypes/set.ts,0
@sinonjs_commons,lib/prototypes/string.ts,0
@sinonjs_commons,lib/type-of.ts,0
@sinonjs_commons,lib/value-to-string.ts,0
accepts,index.ts,14
anymatch,examples.ts,4
anymatch,index.ts,15
asn1,lib/ber/errors.ts,1
asn1,lib/ber/index.ts,3
asn1,lib/ber/reader.ts,59
asn1,lib/ber/types.ts,0
asn1,lib/ber/writer.ts,82
asn1,lib/index.ts,1
brace-expansion,bench/bench.ts,5
brace-expansion,example.ts,6
brace-expansion,index.ts,55
braces,bench/index.ts,32
braces,examples/compile.ts,2
braces,examples/expand.ts,5
braces,examples/option-transform.ts,3
braces,examples/parse.ts,0
braces,index.ts,26
braces,lib/compile.ts,31
braces,lib/constants.ts,0
braces,lib/expand.ts,57
braces,lib/parse.ts,75
braces,lib/stringify.ts,14
braces,lib/utils.ts,36
call-bind,callBound.ts,1
call-bind,index.ts,5
color,index.ts,83
color-convert,conversions.ts,467
color-convert,index.ts,21
color-convert,route.ts,28
color-string,index.ts,50
compressible,index.ts,4
compressible,scripts/version-history.ts,12
csso,.gh-pages/libs/base64.ts,54
csso,.gh-pages/libs/cssbeautify.ts,108
csso,.gh-pages/libs/diff.ts,286
csso,lib/clean/Atrule.ts,19
csso,lib/clean/Comment.ts,2
csso,lib/clean/Declaration.ts,8
csso,lib/clean/Raw.ts,2
csso,lib/clean/Rule.ts,40
csso,lib/clean/TypeSelector.ts,10
csso,lib/clean/WhiteSpace.ts,2
csso,lib/clean/index.ts,1
csso,lib/clean/utils.ts,3
csso,lib/compress.ts,60
csso,lib/index.ts,28
csso,lib/replace/Atrule.ts,1
csso,lib/replace/AttributeSelector.ts,7
csso,lib/replace/Dimension.ts,11
csso,lib/replace/Number.ts,10
csso,lib/replace/Percentage.ts,13
csso,lib/replace/Url.ts,2
csso,lib/replace/Value.ts,3
csso,lib/replace/atrule/keyframes.ts,10
csso,lib/replace/color.ts,75
csso,lib/replace/index.ts,1
csso,lib/replace/property/background.ts,13
csso,lib/replace/property/border.ts,9
csso,lib/replace/property/font-weight.ts,8
csso,lib/replace/property/font.ts,14
csso,lib/restructure/1-mergeAtrule.ts,34
csso,lib/restructure/2-initialMergeRuleset.ts,17
csso,lib/restructure/3-disjoinRuleset.ts,17
csso,lib/restructure/4-restructShorthand.ts,99
csso,lib/restructure/6-restructBlock.ts,59
csso,lib/restructure/7-mergeRuleset.ts,22
csso,lib/restructure/8-restructRuleset.ts,44
csso,lib/restructure/index.ts,14
csso,lib/restructure/prepare/createDeclarationIndexer.ts,10
csso,lib/restructure/prepare/index.ts,8
csso,lib/restructure/prepare/processSelector.ts,30
csso,lib/restructure/prepare/specificity.ts,21
csso,lib/restructure/utils.ts,39
csso,lib/syntax.ts,4
csso,lib/usage.ts,15
csso,lib/utils.ts,0
csso,lib/version.ts,1
csso,scripts/bundle.ts,4
cssstyle,.eslintrc.ts,0
cssstyle,jest.config.ts,0
cssstyle,lib/CSSStyleDeclaration.ts,41
cssstyle,lib/allExtraProperties.ts,1
cssstyle,lib/allProperties.ts,0
cssstyle,lib/allWebkitProperties.ts,0
