Package,File,"Number of errors"
@gar_promisify,index.ts,6
@humanwhocodes_object-schema,.eslintrc.ts,0
@humanwhocodes_object-schema,src/index.ts,0
@humanwhocodes_object-schema,src/merge-strategy.ts,0
@humanwhocodes_object-schema,src/object-schema.ts,25
@humanwhocodes_object-schema,src/validation-strategy.ts,0
@istanbuljs_schema,default-exclude.ts,1
@istanbuljs_schema,default-extension.ts,0
@istanbuljs_schema,index.ts,52
@sellside_emitter,examples.ts,2
@sellside_emitter,index.ts,39
@trysound_sax,examples/example.ts,8
@trysound_sax,examples/get-products.ts,22
@trysound_sax,examples/hello-world.ts,1
@trysound_sax,examples/pretty-print.ts,19
@trysound_sax,lib/sax.ts,682
acorn-import-assertions,post-build.ts,1
acorn-import-assertions,src/index.ts,100
aproba,index.ts,40
arr-flatten,benchmark/check.ts,6
arr-flatten,benchmark/code/arr-flatten-0.1.0 (do-while).ts,1
arr-flatten,benchmark/code/arr-flatten-0.2.0.ts,5
arr-flatten,benchmark/code/arr-flatten-1.0.1.ts,0
arr-flatten,benchmark/code/compute-flatten.ts,0
arr-flatten,benchmark/code/do-while-slice.ts,2
arr-flatten,benchmark/code/flatit.ts,0
arr-flatten,benchmark/code/flatten-array.ts,0
arr-flatten,benchmark/code/flatten.ts,0
arr-flatten,benchmark/code/just-flatten-it.ts,0
arr-flatten,benchmark/code/lib-array-flatten.ts,0
arr-flatten,benchmark/code/lodash.flattendeep.ts,0
arr-flatten,benchmark/code/m_flattened.ts,0
arr-flatten,benchmark/code/utils-flatten.ts,0
arr-flatten,benchmark/fixtures/med.ts,0
arr-flatten,benchmark/fixtures/small-med.ts,0
arr-flatten,benchmark/fixtures/small.ts,0
arr-flatten,benchmark/index.ts,2
arr-flatten,benchmark/libs.ts,3
arr-flatten,index.ts,4
async-each,index.ts,8
async-limiter,example/index.ts,23
async-limiter,index.ts,7
asynckit,bench.ts,11
asynckit,index.ts,0
asynckit,lib/abort.ts,6
asynckit,lib/async.ts,4
asynckit,lib/defer.ts,2
asynckit,lib/iterate.ts,12
asynckit,lib/readable_asynckit.ts,7
asynckit,lib/readable_parallel.ts,2
asynckit,lib/readable_serial.ts,2
asynckit,lib/readable_serial_ordered.ts,3
