Package,File,"Number of errors"
@gar_promisify,index.ts,6
@humanwhocodes_object-schema,.eslintrc.ts,0
@humanwhocodes_object-schema,src/index.ts,0
@humanwhocodes_object-schema,src/merge-strategy.ts,7
@humanwhocodes_object-schema,src/object-schema.ts,38
@humanwhocodes_object-schema,src/validation-strategy.ts,8
@istanbuljs_schema,default-exclude.ts,4
@istanbuljs_schema,default-extension.ts,0
@istanbuljs_schema,index.ts,56
@istanbuljs_schema,tap-snapshots/test-test.js-TAP.test.ts,0
@sellside_emitter,examples.ts,3
@sellside_emitter,index.ts,59
@trysound_sax,examples/example.ts,15
@trysound_sax,examples/get-products.ts,28
@trysound_sax,examples/hello-world.ts,1
@trysound_sax,examples/pretty-print.ts,29
@trysound_sax,lib/sax.ts,703
acorn-import-assertions,post-build.ts,0
acorn-import-assertions,run_test262.ts,10
acorn-import-assertions,src/index.ts,108
aproba,index.ts,44
arr-flatten,benchmark/check.ts,7
arr-flatten,benchmark/code/arr-flatten-0.1.0 (do-while).ts,1
arr-flatten,benchmark/code/arr-flatten-0.2.0.ts,5
arr-flatten,benchmark/code/arr-flatten-1.0.1.ts,0
arr-flatten,benchmark/code/compute-flatten.ts,0
arr-flatten,benchmark/code/do-while-slice.ts,1
arr-flatten,benchmark/code/flatit.ts,0
arr-flatten,benchmark/code/flatten-array.ts,0
arr-flatten,benchmark/code/flatten.ts,0
arr-flatten,benchmark/code/just-flatten-it.ts,0
arr-flatten,benchmark/code/lib-array-flatten.ts,0
arr-flatten,benchmark/code/lodash.flattendeep.ts,0
arr-flatten,benchmark/code/m_flattened.ts,0
arr-flatten,benchmark/code/utils-flatten.ts,0
arr-flatten,benchmark/fixtures/med.ts,0
arr-flatten,benchmark/fixtures/small-med.ts,0
arr-flatten,benchmark/fixtures/small.ts,0
arr-flatten,benchmark/index.ts,2
arr-flatten,benchmark/libs.ts,4
arr-flatten,index.ts,4
async-each,index.ts,7
async-limiter,example/index.ts,24
async-limiter,index.ts,29
asynckit,bench.ts,19
asynckit,index.ts,0
asynckit,lib/abort.ts,9
asynckit,lib/async.ts,4
asynckit,lib/defer.ts,4
asynckit,lib/iterate.ts,16
asynckit,lib/readable_asynckit.ts,24
