Package,File,"Number of errors"
array-includes,auto.ts,0
array-includes,implementation.ts,10
array-includes,index.ts,4
array-includes,polyfill.ts,2
array-includes,shim.ts,1
asn1.js,.eslintrc.ts,0
asn1.js,lib/asn1/api.ts,12
asn1.js,lib/asn1/base/buffer.ts,34
asn1.js,lib/asn1/base/index.ts,4
asn1.js,lib/asn1/base/node.ts,263
asn1.js,lib/asn1/base/reporter.ts,32
asn1.js,lib/asn1/constants/der.ts,7
asn1.js,lib/asn1/constants/index.ts,7
asn1.js,lib/asn1/decoders/der.ts,137
asn1.js,lib/asn1/decoders/index.ts,2
asn1.js,lib/asn1/decoders/pem.ts,6
asn1.js,lib/asn1/encoders/der.ts,85
asn1.js,lib/asn1/encoders/index.ts,2
asn1.js,lib/asn1/encoders/pem.ts,5
asn1.js,lib/asn1.ts,6
asn1.js,rfc/2560/index.ts,13
asn1.js,rfc/5280/index.ts,88
browserify-rsa,index.ts,35
browserify-zlib,karma.conf.ts,1
browserify-zlib,src/binding.ts,15
browserify-zlib,src/index.ts,179
capture-exit,example.ts,1
capture-exit,index.ts,12
capture-exit,process-exit-during-final-exit-subprocess.ts,1
create-ecdh,browser.ts,35
create-ecdh,index.ts,0
des.js,lib/des/cbc.ts,20
des.js,lib/des/cipher.ts,25
des.js,lib/des/des.ts,55
des.js,lib/des/ede.ts,8
des.js,lib/des/utils.ts,131
des.js,lib/des.ts,0
ecc-jsbn,index.ts,24
ecc-jsbn,lib/ec.ts,181
ecc-jsbn,lib/sec.ts,36
esrecurse,esrecurse.ts,31
esrecurse,gulpfile.babel.ts,10
for-each,index.ts,6
fs-write-stream-atomic,index.ts,37
get-symbol-description,getInferredName.ts,1
get-symbol-description,index.ts,4
has-tostringtag,index.ts,0
has-tostringtag,shams.ts,0
has-values,index.ts,5
is-nan,auto.ts,0
is-nan,implementation.ts,0
is-nan,index.ts,1
is-nan,polyfill.ts,2
is-nan,shim.ts,4
is-symbol,index.ts,3
is-weakset,index.ts,3
jsprim,lib/jsprim-jsv.ts,9
jsprim,lib/jsprim.ts,149
levn,lib/cast.ts,44
levn,lib/index.ts,5
levn,lib/parse-string.ts,49
miller-rabin,lib/mr.ts,50
mississippi,index.ts,0
object-is,auto.ts,0
object-is,implementation.ts,2
object-is,index.ts,1
object-is,polyfill.ts,0
object-is,shim.ts,3
object.assign,auto.ts,0
object.assign,browserShim.ts,3
object.assign,hasSymbols.ts,7
object.assign,implementation.ts,6
object.assign,index.ts,1
object.assign,polyfill.ts,1
object.assign,shim.ts,2
object.entries,auto.ts,0
object.entries,implementation.ts,3
object.entries,index.ts,1
object.entries,polyfill.ts,0
object.entries,shim.ts,4
object.values,auto.ts,0
object.values,implementation.ts,3
object.values,index.ts,1
object.values,polyfill.ts,0
object.values,shim.ts,3
regenerate-unicode-properties,Binary_Property/ASCII.ts,2
regenerate-unicode-properties,Binary_Property/ASCII_Hex_Digit.ts,2
regenerate-unicode-properties,Binary_Property/Alphabetic.ts,14
regenerate-unicode-properties,Binary_Property/Any.ts,2
regenerate-unicode-properties,Binary_Property/Assigned.ts,15
regenerate-unicode-properties,Binary_Property/Bidi_Control.ts,2
regenerate-unicode-properties,Binary_Property/Bidi_Mirrored.ts,3
regenerate-unicode-properties,Binary_Property/Case_Ignorable.ts,7
regenerate-unicode-properties,Binary_Property/Cased.ts,4
regenerate-unicode-properties,Binary_Property/Changes_When_Casefolded.ts,3
regenerate-unicode-properties,Binary_Property/Changes_When_Casemapped.ts,3
regenerate-unicode-properties,Binary_Property/Changes_When_Lowercased.ts,3
regenerate-unicode-properties,Binary_Property/Changes_When_NFKC_Casefolded.ts,6
regenerate-unicode-properties,Binary_Property/Changes_When_Titlecased.ts,3
regenerate-unicode-properties,Binary_Property/Changes_When_Uppercased.ts,3
regenerate-unicode-properties,Binary_Property/Dash.ts,2
regenerate-unicode-properties,Binary_Property/Default_Ignorable_Code_Point.ts,2
regenerate-unicode-properties,Binary_Property/Deprecated.ts,2
regenerate-unicode-properties,Binary_Property/Diacritic.ts,4
regenerate-unicode-properties,Binary_Property/Emoji.ts,3
regenerate-unicode-properties,Binary_Property/Emoji_Component.ts,2
regenerate-unicode-properties,Binary_Property/Emoji_Modifier.ts,2
regenerate-unicode-properties,Binary_Property/Emoji_Modifier_Base.ts,2
regenerate-unicode-properties,Binary_Property/Emoji_Presentation.ts,2
regenerate-unicode-properties,Binary_Property/Extended_Pictographic.ts,2
regenerate-unicode-properties,Binary_Property/Extender.ts,2
regenerate-unicode-properties,Binary_Property/Grapheme_Base.ts,17
regenerate-unicode-properties,Binary_Property/Grapheme_Extend.ts,6
regenerate-unicode-properties,Binary_Property/Hex_Digit.ts,2
regenerate-unicode-properties,Binary_Property/IDS_Binary_Operator.ts,2
regenerate-unicode-properties,Binary_Property/IDS_Trinary_Operator.ts,2
regenerate-unicode-properties,Binary_Property/ID_Continue.ts,15
regenerate-unicode-properties,Binary_Property/ID_Start.ts,13
regenerate-unicode-properties,Binary_Property/Ideographic.ts,2
regenerate-unicode-properties,Binary_Property/Join_Control.ts,2
regenerate-unicode-properties,Binary_Property/Logical_Order_Exception.ts,2
regenerate-unicode-properties,Binary_Property/Lowercase.ts,4
regenerate-unicode-properties,Binary_Property/Math.ts,3
regenerate-unicode-properties,Binary_Property/Noncharacter_Code_Point.ts,2
regenerate-unicode-properties,Binary_Property/Pattern_Syntax.ts,2
regenerate-unicode-properties,Binary_Property/Pattern_White_Space.ts,2
regenerate-unicode-properties,Binary_Property/Quotation_Mark.ts,2
regenerate-unicode-properties,Binary_Property/Radical.ts,2
regenerate-unicode-properties,Binary_Property/Regional_Indicator.ts,2
regenerate-unicode-properties,Binary_Property/Sentence_Terminal.ts,2
regenerate-unicode-properties,Binary_Property/Soft_Dotted.ts,2
regenerate-unicode-properties,Binary_Property/Terminal_Punctuation.ts,3
regenerate-unicode-properties,Binary_Property/Unified_Ideograph.ts,2
regenerate-unicode-properties,Binary_Property/Uppercase.ts,3
regenerate-unicode-properties,Binary_Property/Variation_Selector.ts,2
regenerate-unicode-properties,Binary_Property/White_Space.ts,2
regenerate-unicode-properties,Binary_Property/XID_Continue.ts,15
regenerate-unicode-properties,Binary_Property/XID_Start.ts,13
regenerate-unicode-properties,General_Category/Cased_Letter.ts,4
regenerate-unicode-properties,General_Category/Close_Punctuation.ts,2
regenerate-unicode-properties,General_Category/Connector_Punctuation.ts,2
regenerate-unicode-properties,General_Category/Control.ts,2
regenerate-unicode-properties,General_Category/Currency_Symbol.ts,2
regenerate-unicode-properties,General_Category/Dash_Punctuation.ts,2
regenerate-unicode-properties,General_Category/Decimal_Number.ts,3
regenerate-unicode-properties,General_Category/Enclosing_Mark.ts,2
regenerate-unicode-properties,General_Category/Final_Punctuation.ts,1
regenerate-unicode-properties,General_Category/Format.ts,2
regenerate-unicode-properties,General_Category/Initial_Punctuation.ts,2
regenerate-unicode-properties,General_Category/Letter.ts,13
regenerate-unicode-properties,General_Category/Letter_Number.ts,2
regenerate-unicode-properties,General_Category/Line_Separator.ts,1
regenerate-unicode-properties,General_Category/Lowercase_Letter.ts,4
regenerate-unicode-properties,General_Category/Mark.ts,6
regenerate-unicode-properties,General_Category/Math_Symbol.ts,2
regenerate-unicode-properties,General_Category/Modifier_Letter.ts,2
regenerate-unicode-properties,General_Category/Modifier_Symbol.ts,2
regenerate-unicode-properties,General_Category/Nonspacing_Mark.ts,6
regenerate-unicode-properties,General_Category/Number.ts,4
regenerate-unicode-properties,General_Category/Open_Punctuation.ts,1
regenerate-unicode-properties,General_Category/Other.ts,11
regenerate-unicode-properties,General_Category/Other_Letter.ts,10
regenerate-unicode-properties,General_Category/Other_Number.ts,3
regenerate-unicode-properties,General_Category/Other_Punctuation.ts,4
regenerate-unicode-properties,General_Category/Other_Symbol.ts,4
regenerate-unicode-properties,General_Category/Paragraph_Separator.ts,1
regenerate-unicode-properties,General_Category/Private_Use.ts,2
regenerate-unicode-properties,General_Category/Punctuation.ts,4
regenerate-unicode-properties,General_Category/Separator.ts,2
regenerate-unicode-properties,General_Category/Space_Separator.ts,2
regenerate-unicode-properties,General_Category/Spacing_Mark.ts,4
regenerate-unicode-properties,General_Category/Surrogate.ts,2
regenerate-unicode-properties,General_Category/Symbol.ts,5
regenerate-unicode-properties,General_Category/Titlecase_Letter.ts,2
regenerate-unicode-properties,General_Category/Unassigned.ts,11
regenerate-unicode-properties,General_Category/Uppercase_Letter.ts,3
regenerate-unicode-properties,Property_of_Strings/Basic_Emoji.ts,3
regenerate-unicode-properties,Property_of_Strings/Emoji_Keycap_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji.ts,3
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Flag_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Modifier_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Tag_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_ZWJ_Sequence.ts,2
