"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,abab,2,2,0,4,0
deeptyper,top1k-typed-nodeps-es6,acorn-jsx,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ansi-colors,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ansi-regex,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,ansi-styles,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,arr-union,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,array-union,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,array-uniq,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,array-unique,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,arrify,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,assert-plus,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,astral-regex,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,atob,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,aws4,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,balanced-match,1,1,1,4,0
deeptyper,top1k-typed-nodeps-es6,base64-js,3,0,4,6,0
deeptyper,top1k-typed-nodeps-es6,binary-extensions,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,boolbase,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,brorand,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,browser-process-hrtime,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,buffer-crc32,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,buffer-from,1,1,1,4,0
deeptyper,top1k-typed-nodeps-es6,bytes,3,1,6,8,0
deeptyper,top1k-typed-nodeps-es6,cacheable-lookup,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,callsites,1,0,1,1,0
deeptyper,top1k-typed-nodeps-es6,camelcase,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,caseless,0,0,0,0,0
