"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
DeepTyper,top1k-typed-nodeps,abab,index.ts,0,0,0,2
DeepTyper,top1k-typed-nodeps,abab,karma.conf.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps,abab,lib/atob.ts,0,0,0,9
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,0,0,0,8
DeepTyper,top1k-typed-nodeps,abbrev,abbrev.ts,4,0,0,9
DeepTyper,top1k-typed-nodeps,acorn-jsx,index.ts,51,1,0,70
DeepTyper,top1k-typed-nodeps,acorn-jsx,xhtml.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/colors.ts,13,0,0,20
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,3,0,0,3
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/index.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/alias.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/chained.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/colors.ts,3,0,0,3
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/nested.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,5,0,0,5
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/ok.ts,1,0,0,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,5,1,0,8
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,2,0,0,4
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/styles.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,2,0,0,5
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme2.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-colors,index.ts,16,0,0,39
DeepTyper,top1k-typed-nodeps,ansi-colors,symbols.ts,3,0,0,6
DeepTyper,top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,5,0,0,5
DeepTyper,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,0,3,0,8
DeepTyper,top1k-typed-nodeps,ansi-regex,index.ts,0,0,0,1
DeepTyper,top1k-typed-nodeps,ansi-styles,index.ts,5,0,0,32
DeepTyper,top1k-typed-nodeps,ansi-styles,screenshot.ts,0,0,0,4
DeepTyper,top1k-typed-nodeps,arg,index.ts,9,0,0,15
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/check.ts,7,0,0,7
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,6,1,0,8
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/array-union.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/concat-apply.ts,3,0,0,3
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/current.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,3,0,0,4
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/for-each.ts,5,1,0,6
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/for-in.ts,3,2,0,7
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/for.ts,2,2,0,5
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,4,2,0,6
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-concat-push.ts,1,3,0,5
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-concat.ts,2,1,0,4
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-continue-for.ts,4,0,0,5
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-for-unique.ts,4,0,0,5
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-for.ts,4,0,0,5
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-push-apply.ts,3,0,0,4
