"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
LambdaNet,top1k-typed-nodeps,@xtuc_long,index.ts,0,11,3,181
LambdaNet,top1k-typed-nodeps,abab,index.ts,0,0,0,2
LambdaNet,top1k-typed-nodeps,abab,karma.conf.ts,0,0,0,2
LambdaNet,top1k-typed-nodeps,abab,lib/atob.ts,0,0,0,9
LambdaNet,top1k-typed-nodeps,abab,lib/btoa.ts,0,2,0,8
LambdaNet,top1k-typed-nodeps,abbrev,abbrev.ts,0,1,0,13
LambdaNet,top1k-typed-nodeps,acorn-jsx,index.ts,0,1,6,36
LambdaNet,top1k-typed-nodeps,acorn-jsx,xhtml.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,ansi-colors,bench/colors.ts,0,2,1,20
LambdaNet,top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,0,0,0,3
LambdaNet,top1k-typed-nodeps,ansi-colors,bench/index.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/alias.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/chained.ts,0,0,0,2
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/colors.ts,0,1,1,3
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/nested.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,0,3,0,5
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/ok.ts,0,1,0,2
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,0,0,0,2
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,0,3,2,8
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,0,1,1,4
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/styles.ts,0,0,0,2
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/theme.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/theme2.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-colors,index.ts,0,2,10,36
LambdaNet,top1k-typed-nodeps,ansi-colors,symbols.ts,0,0,0,6
LambdaNet,top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,0,0,0,5
LambdaNet,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,0,3,1,8
LambdaNet,top1k-typed-nodeps,ansi-regex,index.ts,0,0,0,1
LambdaNet,top1k-typed-nodeps,ansi-styles,index.ts,0,0,3,35
LambdaNet,top1k-typed-nodeps,ansi-styles,screenshot.ts,0,0,0,4
LambdaNet,top1k-typed-nodeps,argparse,argparse.ts,0,23,13,140
LambdaNet,top1k-typed-nodeps,argparse,lib/sub.ts,0,0,0,13
LambdaNet,top1k-typed-nodeps,argparse,lib/textwrap.ts,0,7,0,30
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/check.ts,0,0,1,7
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,0,1,2,9
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/filter.ts,0,2,0,4
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/for-negative.ts,0,3,0,6
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/for.ts,0,3,0,6
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/forEach.ts,0,3,0,5
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,0,2,0,6
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,0,3,0,6
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,0,3,0,11
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-indexof.ts,0,3,0,7
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-multi-unshift.ts,0,5,0,8
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-multi.ts,0,5,0,8
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-push.ts,0,3,0,6
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,0,2,1,12
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,0,1,1,9
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,0,2,1,10
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,0,2,0,9
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,0,2,0,9
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice.ts,0,3,0,5
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/code/while-unshift.ts,0,3,0,5
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/fixtures/long-dupes.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/fixtures/long.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/fixtures/med-short.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/fixtures/med.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/fixtures/short.ts,0,0,0,0
LambdaNet,top1k-typed-nodeps,arr-diff,benchmark/index.ts,0,1,0,5
LambdaNet,top1k-typed-nodeps,arr-diff,index.ts,0,4,0,14
LambdaNet,top1k-typed-nodeps,arr-union,benchmark/check.ts,0,0,1,7
LambdaNet,top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,0,5,1,9
