"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,1,0,0,46
SantaCoder,top1k-typed-nodeps,abab,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,abab,karma.conf.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,abab,lib/atob.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,abab,lib/btoa.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,abbrev,abbrev.ts,0,0,0,3
SantaCoder,top1k-typed-nodeps,acorn-jsx,index.ts,2,0,0,7
SantaCoder,top1k-typed-nodeps,acorn-jsx,xhtml.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/colors.ts,1,0,0,2
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/alias.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/chained.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/colors.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/nested.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/ok.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/styles.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme2.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-colors,symbols.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,ansi-regex,index.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,ansi-styles,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,ansi-styles,screenshot.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arg,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,argparse,argparse.ts,8,5,2,47
SantaCoder,top1k-typed-nodeps,argparse,lib/sub.ts,1,1,0,8
SantaCoder,top1k-typed-nodeps,argparse,lib/textwrap.ts,0,0,0,5
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/check.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,1,3,0,4
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/filter.ts,1,2,0,3
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/for-negative.ts,0,2,0,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/for.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/forEach.ts,0,2,0,3
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,1,3,0,5
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,1,3,0,5
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,0,3,0,3
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-indexof.ts,0,2,0,2
