"System","Dataset","Package","File","Error code","Count"
DeepTyper,top1k-typed-nodeps,abab,index.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,abab,lib/atob.ts,TS2384,1
DeepTyper,top1k-typed-nodeps,abab,lib/atob.ts,TS2363,1
DeepTyper,top1k-typed-nodeps,abab,lib/atob.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,abab,lib/atob.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,TS2384,1
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,TS2322,4
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,TS2362,2
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,abab,lib/btoa.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,abbrev,abbrev.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,abbrev,abbrev.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,abbrev,abbrev.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,acorn-jsx,index.ts,TS2339,8
DeepTyper,top1k-typed-nodeps,acorn-jsx,index.ts,TS2554,2
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2339,3
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/alias.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/chained.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/colors.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/nested.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,TS2451,4
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/styles.ts,TS2451,2
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme.ts,TS2451,3
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/theme2.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,ansi-colors,index.ts,TS2322,6
DeepTyper,top1k-typed-nodeps,ansi-colors,index.ts,TS2349,46
DeepTyper,top1k-typed-nodeps,ansi-colors,symbols.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS1192,1
DeepTyper,top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,ansi-regex,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,ansi-styles,index.ts,TS2322,4
DeepTyper,top1k-typed-nodeps,ansi-styles,index.ts,TS2349,6
DeepTyper,top1k-typed-nodeps,ansi-styles,screenshot.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,arg,index.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,assert-plus,assert.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,assert-plus,assert.ts,TS2349,1
DeepTyper,top1k-typed-nodeps,assert-plus,assert.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,assert-plus,assert.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,astral-regex,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,atob,bin/atob.ts,TS2384,1
DeepTyper,top1k-typed-nodeps,atob,browser-atob.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,atob,browser-atob.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,atob,node-atob.ts,TS2384,2
DeepTyper,top1k-typed-nodeps,aws4,aws4.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,aws4,aws4.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,aws4,aws4.ts,TS2554,4
DeepTyper,top1k-typed-nodeps,aws4,aws4.ts,TS2350,1
DeepTyper,top1k-typed-nodeps,balanced-match,index.ts,TS2358,1
DeepTyper,top1k-typed-nodeps,balanced-match,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,balanced-match,index.ts,TS2339,5
DeepTyper,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2304,3
DeepTyper,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2554,3
DeepTyper,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,base64-js,bench/basic.ts,TS2451,4
DeepTyper,top1k-typed-nodeps,base64-js,bench/basic.ts,TS2588,1
DeepTyper,top1k-typed-nodeps,base64-js,bench/bench.ts,TS2451,3
DeepTyper,top1k-typed-nodeps,base64-js,index.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,base64-js,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,brorand,index.ts,TS2551,3
DeepTyper,top1k-typed-nodeps,brorand,index.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,brorand,index.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2339,4
DeepTyper,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2551,1
DeepTyper,top1k-typed-nodeps,buffer-crc32,index.ts,TS2740,1
DeepTyper,top1k-typed-nodeps,buffer-from,index.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,buffer-from,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,bytes,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,bytes,index.ts,TS2345,3
DeepTyper,top1k-typed-nodeps,bytes,index.ts,TS2362,1
DeepTyper,top1k-typed-nodeps,bytes,index.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2322,4
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2488,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2339,56
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2551,18
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2550,1
DeepTyper,top1k-typed-nodeps,callsites,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,camelcase,index.ts,TS2322,6
DeepTyper,top1k-typed-nodeps,camelcase,index.ts,TS2349,15
DeepTyper,top1k-typed-nodeps,caseless,index.ts,TS2407,1
DeepTyper,top1k-typed-nodeps,caseless,index.ts,TS2538,5
DeepTyper,top1k-typed-nodeps,caseless,index.ts,TS2367,1
DeepTyper,top1k-typed-nodeps,char-regex,fixture/all-telugu-chars.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,char-regex,fixture/all-telugu-chars.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,char-regex,index.ts,TS2322,19
DeepTyper,top1k-typed-nodeps,char-regex,index.ts,TS2365,1
DeepTyper,top1k-typed-nodeps,chownr,chownr.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,chownr,chownr.ts,TS2349,5
DeepTyper,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2451,4
DeepTyper,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2588,1
DeepTyper,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2769,2
DeepTyper,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,cli-spinners,example.ts,TS2451,3
DeepTyper,top1k-typed-nodeps,cli-spinners,index.ts,TS2451,1
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2367,1
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2403,2
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2365,2
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2356,2
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,clone,clone.ts,TS2351,1
DeepTyper,top1k-typed-nodeps,co,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,co,index.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,co,index.ts,TS2345,2
DeepTyper,top1k-typed-nodeps,co,index.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,co,index.ts,TS2349,4
DeepTyper,top1k-typed-nodeps,collect-v8-coverage,index.ts,TS2339,10
DeepTyper,top1k-typed-nodeps,color-support,bin.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,color-support,browser.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,color-support,index.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,color-support,index.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,colors,examples/normal-usage.ts,TS2339,28
DeepTyper,top1k-typed-nodeps,colors,lib/colors.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,colors,lib/custom/american.ts,TS2339,3
DeepTyper,top1k-typed-nodeps,colors,lib/custom/trap.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,colors,lib/custom/trap.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2367,1
DeepTyper,top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,colors,lib/custom/zalgo.ts,TS2407,1
DeepTyper,top1k-typed-nodeps,colors,lib/extendStringPrototype.ts,TS2322,1
