"System","Dataset","Package","File","Error code","Count"
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,TS2554,21
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,TS2709,15
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,TS2339,5
SantaCoder,top1k-typed-nodeps,@xtuc_long,index.ts,TS2345,1
SantaCoder,top1k-typed-nodeps,abab,index.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,abab,karma.conf.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,abab,lib/atob.ts,TS2384,1
SantaCoder,top1k-typed-nodeps,abab,lib/atob.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,abab,lib/btoa.ts,TS2384,1
SantaCoder,top1k-typed-nodeps,abab,lib/btoa.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,acorn-jsx,index.ts,TS2304,3
SantaCoder,top1k-typed-nodeps,acorn-jsx,index.ts,TS4078,3
SantaCoder,top1k-typed-nodeps,acorn-jsx,index.ts,TS2503,1
SantaCoder,top1k-typed-nodeps,acorn-jsx,index.ts,TS2554,2
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2554,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/alias.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/chained.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/colors.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/nested.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,TS2451,4
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/styles.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/theme2.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,ansi-colors,index.ts,TS2339,25
SantaCoder,top1k-typed-nodeps,ansi-regex,index.ts,TS1005,1
SantaCoder,top1k-typed-nodeps,ansi-styles,index.ts,TS2339,18
SantaCoder,top1k-typed-nodeps,ansi-styles,screenshot.ts,TS2339,3
SantaCoder,top1k-typed-nodeps,arg,index.ts,TS2339,1
SantaCoder,top1k-typed-nodeps,argparse,argparse.ts,TS4078,3
SantaCoder,top1k-typed-nodeps,argparse,argparse.ts,TS1005,3
SantaCoder,top1k-typed-nodeps,argparse,lib/textwrap.ts,TS1005,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/for.ts,TS2314,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2393,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,TS2393,2
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-diff,index.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,array-unique,benchmark/code/filter.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,assert-plus,assert.ts,TS2554,1
SantaCoder,top1k-typed-nodeps,assert-plus,assert.ts,TS2345,1
SantaCoder,top1k-typed-nodeps,async,dist/async.ts,TS1005,4
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/async.ts,TS1138,8
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/async.ts,TS1005,6
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,TS1002,1
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,TS1005,6
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,TS1135,2
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,TS1109,2
SantaCoder,top1k-typed-nodeps,async,docs/v2/scripts/prettify/lang-css.ts,TS1127,3
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/async.ts,TS1005,4
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,TS1002,1
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,TS1005,6
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,TS1135,2
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,TS1109,2
SantaCoder,top1k-typed-nodeps,async,docs/v3/scripts/prettify/lang-css.ts,TS1127,3
SantaCoder,top1k-typed-nodeps,async,lib/internal/awaitify.ts,TS1005,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/map.ts,TS4078,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/queue.ts,TS4078,3
SantaCoder,top1k-typed-nodeps,async,lib/internal/reject.ts,TS4078,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/withoutIndex.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,async,lib/memoize.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,async,lib/memoize.ts,TS1005,1
SantaCoder,top1k-typed-nodeps,async,lib/priorityQueue.ts,TS1005,2
SantaCoder,top1k-typed-nodeps,async,lib/retry.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,async,lib/retryable.ts,TS4078,2
SantaCoder,top1k-typed-nodeps,async,lib/timeout.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,async,lib/until.ts,TS4078,3
SantaCoder,top1k-typed-nodeps,async,perf/benchmark.ts,TS4078,5
SantaCoder,top1k-typed-nodeps,async,support/build/compile-module.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/jsdoc-fix-html.ts,TS4078,5
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/publish.ts,TS4078,8
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,TS1002,1
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,TS1005,6
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,TS1135,2
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,TS1109,2
SantaCoder,top1k-typed-nodeps,async,support/jsdoc/theme/static/scripts/prettify/lang-css.ts,TS1127,3
SantaCoder,top1k-typed-nodeps,atob,bin/atob.ts,TS2384,1
SantaCoder,top1k-typed-nodeps,atob,node-atob.ts,TS2384,2
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS2403,1
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS2339,21
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS2552,2
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS2540,2
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,TS2554,4
SantaCoder,top1k-typed-nodeps,aws4,example.ts,TS2339,1
SantaCoder,top1k-typed-nodeps,aws4,example.ts,TS2739,2
SantaCoder,top1k-typed-nodeps,aws4,example.ts,TS2322,1
SantaCoder,top1k-typed-nodeps,aws4,example.ts,TS2741,1
SantaCoder,top1k-typed-nodeps,aws4,lru.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,aws4,lru.ts,TS2749,1
SantaCoder,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2304,3
SantaCoder,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2554,5
SantaCoder,top1k-typed-nodeps,base64-js,base64js.min.ts,TS2339,1
SantaCoder,top1k-typed-nodeps,base64-js,bench/basic.ts,TS2451,4
SantaCoder,top1k-typed-nodeps,base64-js,bench/bench.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,base64-js,index.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2350,1
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2339,49
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2345,3
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2552,1
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2322,1
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2304,14
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2362,3
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2749,4
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2554,6
SantaCoder,top1k-typed-nodeps,big.js,big.ts,TS2363,1
SantaCoder,top1k-typed-nodeps,big.js,perf/bigtime.ts,TS2339,7
SantaCoder,top1k-typed-nodeps,big.js,perf/bigtime.ts,TS2554,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2339,1309
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2630,15
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2345,535
