Dataset,Package,File,"Error code",Count
top1k-typed-nodeps,@xtuc_long,index.ts,TS2304,1
top1k-typed-nodeps,@xtuc_long,index.ts,TS4060,1
top1k-typed-nodeps,@xtuc_long,index.ts,TS2322,57
top1k-typed-nodeps,@xtuc_long,index.ts,TS2345,24
top1k-typed-nodeps,@xtuc_long,index.ts,TS2339,180
top1k-typed-nodeps,@xtuc_long,index.ts,TS2350,3
top1k-typed-nodeps,@xtuc_long,index.ts,TS2740,3
top1k-typed-nodeps,@xtuc_long,index.ts,TS2554,22
top1k-typed-nodeps,@xtuc_long,index.ts,TS2365,2
top1k-typed-nodeps,@xtuc_long,index.ts,TS2362,17
top1k-typed-nodeps,@xtuc_long,index.ts,TS2314,1
top1k-typed-nodeps,abab,index.ts,TS2451,2
top1k-typed-nodeps,abab,karma.conf.ts,TS2314,1
top1k-typed-nodeps,abab,karma.conf.ts,TS2339,1
top1k-typed-nodeps,abab,lib/atob.ts,TS2384,1
top1k-typed-nodeps,abab,lib/atob.ts,TS2451,1
top1k-typed-nodeps,abab,lib/btoa.ts,TS2384,1
top1k-typed-nodeps,abab,lib/btoa.ts,TS2451,1
top1k-typed-nodeps,abab,lib/btoa.ts,TS2322,1
top1k-typed-nodeps,abbrev,abbrev.ts,TS2304,1
top1k-typed-nodeps,abbrev,abbrev.ts,TS4060,1
top1k-typed-nodeps,acorn-jsx,index.ts,TS2739,1
top1k-typed-nodeps,acorn-jsx,index.ts,TS2339,232
top1k-typed-nodeps,acorn-jsx,index.ts,TS2351,7
top1k-typed-nodeps,acorn-jsx,index.ts,TS2322,1
top1k-typed-nodeps,acorn-jsx,index.ts,TS2740,1
top1k-typed-nodeps,acorn-jsx,index.ts,TS2507,1
top1k-typed-nodeps,acorn-jsx,index.ts,TS2349,4
top1k-typed-nodeps,acorn-jsx,index.ts,TS2554,2
top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2451,2
top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2339,58
top1k-typed-nodeps,ansi-colors,bench/colors.ts,TS2345,2
top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,TS2339,86
top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,TS2349,1
top1k-typed-nodeps,ansi-colors,examples/alias.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/alias.ts,TS2339,5
top1k-typed-nodeps,ansi-colors,examples/chained.ts,TS2451,2
top1k-typed-nodeps,ansi-colors,examples/chained.ts,TS2339,12
top1k-typed-nodeps,ansi-colors,examples/colors.ts,TS2451,2
top1k-typed-nodeps,ansi-colors,examples/colors.ts,TS2339,4
top1k-typed-nodeps,ansi-colors,examples/nested.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/nested.ts,TS2339,79
top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,TS2451,4
top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,TS2339,8
top1k-typed-nodeps,ansi-colors,examples/ok.ts,TS2339,5
top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,TS2451,2
top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,TS2339,20
top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,TS2339,3
top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,TS2339,3
top1k-typed-nodeps,ansi-colors,examples/styles.ts,TS2451,2
top1k-typed-nodeps,ansi-colors,examples/styles.ts,TS2339,33
top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,TS2339,8
top1k-typed-nodeps,ansi-colors,examples/theme.ts,TS2451,3
top1k-typed-nodeps,ansi-colors,examples/theme.ts,TS2339,26
top1k-typed-nodeps,ansi-colors,examples/theme2.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/theme2.ts,TS2339,16
top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,TS2451,1
top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,TS2339,8
top1k-typed-nodeps,ansi-colors,index.ts,TS2322,4
top1k-typed-nodeps,ansi-colors,index.ts,TS2339,39
top1k-typed-nodeps,ansi-colors,index.ts,TS2367,1
top1k-typed-nodeps,ansi-colors,index.ts,TS2551,5
top1k-typed-nodeps,ansi-colors,index.ts,TS2314,1
top1k-typed-nodeps,ansi-colors,symbols.ts,TS2322,2
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,TS2314,3
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,TS2740,1
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,TS2739,1
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS1192,1
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS2304,3
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS2740,1
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS2322,1
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,TS2339,2
top1k-typed-nodeps,ansi-regex,index.ts,TS2304,1
top1k-typed-nodeps,ansi-regex,index.ts,TS4060,1
top1k-typed-nodeps,ansi-styles,index.ts,TS2322,4
top1k-typed-nodeps,ansi-styles,index.ts,TS2314,1
top1k-typed-nodeps,ansi-styles,index.ts,TS2339,22
top1k-typed-nodeps,ansi-styles,index.ts,TS2554,1
top1k-typed-nodeps,ansi-styles,index.ts,TS2488,1
top1k-typed-nodeps,ansi-styles,index.ts,TS2740,1
top1k-typed-nodeps,ansi-styles,screenshot.ts,TS2339,2
top1k-typed-nodeps,argparse,argparse.ts,TS2339,318
top1k-typed-nodeps,argparse,argparse.ts,TS2355,1
top1k-typed-nodeps,argparse,argparse.ts,TS2304,4
top1k-typed-nodeps,argparse,argparse.ts,TS4060,4
top1k-typed-nodeps,argparse,argparse.ts,TS2322,33
top1k-typed-nodeps,argparse,argparse.ts,TS2349,89
top1k-typed-nodeps,argparse,argparse.ts,TS2769,1
top1k-typed-nodeps,argparse,argparse.ts,TS2345,45
top1k-typed-nodeps,argparse,argparse.ts,TS2314,4
top1k-typed-nodeps,argparse,argparse.ts,TS2740,2
top1k-typed-nodeps,argparse,argparse.ts,TS2507,23
top1k-typed-nodeps,argparse,argparse.ts,TS2554,10
top1k-typed-nodeps,argparse,argparse.ts,TS2551,4
top1k-typed-nodeps,argparse,argparse.ts,TS2351,13
top1k-typed-nodeps,argparse,argparse.ts,TS2556,2
top1k-typed-nodeps,argparse,argparse.ts,TS2359,2
top1k-typed-nodeps,argparse,lib/sub.ts,TS2769,1
top1k-typed-nodeps,argparse,lib/sub.ts,TS2339,1
top1k-typed-nodeps,argparse,lib/textwrap.ts,TS2339,53
top1k-typed-nodeps,argparse,lib/textwrap.ts,TS2322,2
top1k-typed-nodeps,arr-diff,benchmark/check.ts,TS2339,7
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,TS2551,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,TS2339,1
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2393,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2322,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,TS2769,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,TS2393,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,TS2551,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,TS2304,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,TS2393,1
top1k-typed-nodeps,arr-diff,benchmark/index.ts,TS2351,1
top1k-typed-nodeps,arr-diff,benchmark/index.ts,TS2339,5
top1k-typed-nodeps,arr-diff,index.ts,TS2322,1
top1k-typed-nodeps,arr-diff,index.ts,TS2769,1
top1k-typed-nodeps,arr-diff,index.ts,TS2393,1
top1k-typed-nodeps,arr-union,benchmark/check.ts,TS2339,7
