Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,@xtuc_long,index.ts,68
top1k-typed-nodeps,abab,index.ts,2
top1k-typed-nodeps,abab,karma.conf.ts,1
top1k-typed-nodeps,abab,lib/atob.ts,3
top1k-typed-nodeps,abab,lib/btoa.ts,2
top1k-typed-nodeps,abbrev,abbrev.ts,2
top1k-typed-nodeps,acorn-jsx,index.ts,176
top1k-typed-nodeps,acorn-jsx,xhtml.ts,0
top1k-typed-nodeps,ansi-colors,bench/colors.ts,4
top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,0
top1k-typed-nodeps,ansi-colors,bench/index.ts,0
top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,0
top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,0
top1k-typed-nodeps,ansi-colors,examples/alias.ts,1
top1k-typed-nodeps,ansi-colors,examples/chained.ts,2
top1k-typed-nodeps,ansi-colors,examples/colors.ts,2
top1k-typed-nodeps,ansi-colors,examples/nested.ts,1
top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,4
top1k-typed-nodeps,ansi-colors,examples/ok.ts,0
top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,2
top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,1
top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,1
top1k-typed-nodeps,ansi-colors,examples/styles.ts,2
top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,1
top1k-typed-nodeps,ansi-colors,examples/theme.ts,3
top1k-typed-nodeps,ansi-colors,examples/theme2.ts,1
top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,1
top1k-typed-nodeps,ansi-colors,index.ts,25
top1k-typed-nodeps,ansi-colors,symbols.ts,0
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,0
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,0
top1k-typed-nodeps,ansi-regex,index.ts,1
top1k-typed-nodeps,ansi-styles,index.ts,18
top1k-typed-nodeps,ansi-styles,screenshot.ts,3
top1k-typed-nodeps,argparse,argparse.ts,5
top1k-typed-nodeps,argparse,lib/sub.ts,0
top1k-typed-nodeps,argparse,lib/textwrap.ts,2
top1k-typed-nodeps,arr-diff,benchmark/check.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/filter.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/for-negative.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/for.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/forEach.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,3
top1k-typed-nodeps,arr-diff,benchmark/code/while-indexof.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-multi-unshift.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-multi.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-push.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-unshift.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/long-dupes.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/long.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/med-short.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/med.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/short.ts,0
top1k-typed-nodeps,arr-diff,benchmark/index.ts,0
top1k-typed-nodeps,arr-diff,index.ts,2
top1k-typed-nodeps,arr-union,benchmark/check.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,2
top1k-typed-nodeps,arr-union,benchmark/code/array-union.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/concat-apply.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/current.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/for-each.ts,0
