Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,@xtuc_long,index.ts,306
top1k-typed-nodeps,abab,index.ts,2
top1k-typed-nodeps,abab,karma.conf.ts,2
top1k-typed-nodeps,abab,lib/atob.ts,2
top1k-typed-nodeps,abab,lib/btoa.ts,3
top1k-typed-nodeps,abbrev,abbrev.ts,0
top1k-typed-nodeps,acorn-jsx,index.ts,249
top1k-typed-nodeps,acorn-jsx,xhtml.ts,0
top1k-typed-nodeps,ansi-colors,bench/colors.ts,62
top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,87
top1k-typed-nodeps,ansi-colors,bench/index.ts,0
top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,0
top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,0
top1k-typed-nodeps,ansi-colors,examples/alias.ts,6
top1k-typed-nodeps,ansi-colors,examples/chained.ts,14
top1k-typed-nodeps,ansi-colors,examples/colors.ts,6
top1k-typed-nodeps,ansi-colors,examples/nested.ts,80
top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,12
top1k-typed-nodeps,ansi-colors,examples/ok.ts,5
top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,22
top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,4
top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,4
top1k-typed-nodeps,ansi-colors,examples/styles.ts,35
top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,9
top1k-typed-nodeps,ansi-colors,examples/theme.ts,29
top1k-typed-nodeps,ansi-colors,examples/theme2.ts,17
top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,9
top1k-typed-nodeps,ansi-colors,index.ts,50
top1k-typed-nodeps,ansi-colors,symbols.ts,2
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,5
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,6
top1k-typed-nodeps,ansi-regex,index.ts,1
top1k-typed-nodeps,ansi-styles,index.ts,30
top1k-typed-nodeps,ansi-styles,screenshot.ts,2
top1k-typed-nodeps,argparse,argparse.ts,547
top1k-typed-nodeps,argparse,lib/sub.ts,2
top1k-typed-nodeps,argparse,lib/textwrap.ts,55
top1k-typed-nodeps,arr-diff,benchmark/check.ts,7
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/filter.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/for-negative.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/for.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/forEach.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-concat.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/reduce-push.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-arguments.ts,4
