Dataset,Package,File,"Lines of code"
top1k-typed-nodeps,@xtuc_long,index.ts,612
top1k-typed-nodeps,abab,index.ts,7
top1k-typed-nodeps,abab,karma.conf.ts,23
top1k-typed-nodeps,abab,lib/atob.ts,44
top1k-typed-nodeps,abab,lib/btoa.ts,44
top1k-typed-nodeps,abbrev,abbrev.ts,52
top1k-typed-nodeps,acorn-jsx,index.ts,393
top1k-typed-nodeps,acorn-jsx,xhtml.ts,255
top1k-typed-nodeps,ansi-colors,bench/colors.ts,73
top1k-typed-nodeps,ansi-colors,bench/dryrun.ts,37
top1k-typed-nodeps,ansi-colors,bench/index.ts,1
top1k-typed-nodeps,ansi-colors,bench/load-ansi-colors.ts,3
top1k-typed-nodeps,ansi-colors,bench/load-chalk.ts,3
top1k-typed-nodeps,ansi-colors,examples/alias.ts,4
top1k-typed-nodeps,ansi-colors,examples/chained.ts,11
top1k-typed-nodeps,ansi-colors,examples/colors.ts,5
top1k-typed-nodeps,ansi-colors,examples/nested.ts,69
top1k-typed-nodeps,ansi-colors,examples/nesting-bug.ts,12
top1k-typed-nodeps,ansi-colors,examples/ok.ts,3
top1k-typed-nodeps,ansi-colors,examples/readme-examples.ts,38
top1k-typed-nodeps,ansi-colors,examples/screenshot-table.ts,25
top1k-typed-nodeps,ansi-colors,examples/screenshot.ts,22
top1k-typed-nodeps,ansi-colors,examples/styles.ts,21
top1k-typed-nodeps,ansi-colors,examples/theme-custom-fn.ts,28
top1k-typed-nodeps,ansi-colors,examples/theme.ts,46
top1k-typed-nodeps,ansi-colors,examples/theme2.ts,18
top1k-typed-nodeps,ansi-colors,examples/unstyle.ts,6
top1k-typed-nodeps,ansi-colors,index.ts,155
top1k-typed-nodeps,ansi-colors,symbols.ts,64
top1k-typed-nodeps,ansi-regex,fixtures/ansi-codes.ts,203
top1k-typed-nodeps,ansi-regex,fixtures/view-codes.ts,44
top1k-typed-nodeps,ansi-regex,index.ts,7
top1k-typed-nodeps,ansi-styles,index.ts,174
top1k-typed-nodeps,ansi-styles,screenshot.ts,29
top1k-typed-nodeps,arg,index.ts,161
top1k-typed-nodeps,argparse,argparse.ts,2628
top1k-typed-nodeps,argparse,lib/sub.ts,53
top1k-typed-nodeps,argparse,lib/textwrap.ts,194
top1k-typed-nodeps,arr-diff,benchmark/check.ts,14
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-3.0.0.ts,18
top1k-typed-nodeps,arr-diff,benchmark/code/arr-diff-4.0.0.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/array-differ.ts,2
