"System","Dataset","Package","Type checks"
LambdaNet,top1k-typed-nodeps,@xtuc_long,0
LambdaNet,top1k-typed-nodeps,abab,0
LambdaNet,top1k-typed-nodeps,abbrev,1
LambdaNet,top1k-typed-nodeps,acorn-jsx,0
LambdaNet,top1k-typed-nodeps,ansi-colors,0
LambdaNet,top1k-typed-nodeps,ansi-regex,0
LambdaNet,top1k-typed-nodeps,ansi-styles,0
LambdaNet,top1k-typed-nodeps,argparse,0
LambdaNet,top1k-typed-nodeps,arr-diff,0
LambdaNet,top1k-typed-nodeps,arr-union,0
LambdaNet,top1k-typed-nodeps,array-union,1
LambdaNet,top1k-typed-nodeps,array-uniq,0
LambdaNet,top1k-typed-nodeps,array-unique,0
LambdaNet,top1k-typed-nodeps,arrify,0
LambdaNet,top1k-typed-nodeps,assert-plus,0
LambdaNet,top1k-typed-nodeps,astral-regex,0
LambdaNet,top1k-typed-nodeps,atob,0
LambdaNet,top1k-typed-nodeps,aws4,0
LambdaNet,top1k-typed-nodeps,balanced-match,0
LambdaNet,top1k-typed-nodeps,base64-js,0
LambdaNet,top1k-typed-nodeps,boolbase,1
LambdaNet,top1k-typed-nodeps,brorand,0
LambdaNet,top1k-typed-nodeps,buffer-crc32,0
LambdaNet,top1k-typed-nodeps,buffer-from,0
LambdaNet,top1k-typed-nodeps,bytes,0
LambdaNet,top1k-typed-nodeps,cacheable-lookup,0
LambdaNet,top1k-typed-nodeps,callsites,0
LambdaNet,top1k-typed-nodeps,camelcase,0
LambdaNet,top1k-typed-nodeps,ci-info,0
LambdaNet,top1k-typed-nodeps,cjs-module-lexer,0
LambdaNet,top1k-typed-nodeps,cli-boxes,1
LambdaNet,top1k-typed-nodeps,clone,0
LambdaNet,top1k-typed-nodeps,co,0
LambdaNet,top1k-typed-nodeps,collect-v8-coverage,0
LambdaNet,top1k-typed-nodeps,color-support,0
LambdaNet,top1k-typed-nodeps,colorette,0
LambdaNet,top1k-typed-nodeps,colors,0
LambdaNet,top1k-typed-nodeps,content-type,0
LambdaNet,top1k-typed-nodeps,cookie-signature,0
LambdaNet,top1k-typed-nodeps,cookie,0
LambdaNet,top1k-typed-nodeps,create-require,0
LambdaNet,top1k-typed-nodeps,cssesc,0
LambdaNet,top1k-typed-nodeps,cssom,0
LambdaNet,top1k-typed-nodeps,decamelize,0
LambdaNet,top1k-typed-nodeps,decimal.js,0
LambdaNet,top1k-typed-nodeps,decode-uri-component,0
