"System","Dataset","Package","Type checks"
tsc,top1k-typed-nodeps,@xtuc_long,0
tsc,top1k-typed-nodeps,abab,0
tsc,top1k-typed-nodeps,abbrev,0
tsc,top1k-typed-nodeps,acorn-jsx,0
tsc,top1k-typed-nodeps,ansi-colors,0
tsc,top1k-typed-nodeps,ansi-regex,0
tsc,top1k-typed-nodeps,ansi-styles,0
tsc,top1k-typed-nodeps,arg,1
tsc,top1k-typed-nodeps,argparse,0
tsc,top1k-typed-nodeps,arr-diff,0
tsc,top1k-typed-nodeps,arr-union,0
tsc,top1k-typed-nodeps,array-union,1
tsc,top1k-typed-nodeps,array-uniq,1
tsc,top1k-typed-nodeps,array-unique,0
tsc,top1k-typed-nodeps,arrify,1
tsc,top1k-typed-nodeps,assert-plus,0
tsc,top1k-typed-nodeps,astral-regex,1
tsc,top1k-typed-nodeps,async,0
tsc,top1k-typed-nodeps,atob,0
tsc,top1k-typed-nodeps,aws4,0
tsc,top1k-typed-nodeps,balanced-match,1
tsc,top1k-typed-nodeps,base64-js,0
tsc,top1k-typed-nodeps,big.js,0
tsc,top1k-typed-nodeps,binary-extensions,0
tsc,top1k-typed-nodeps,boolbase,1
tsc,top1k-typed-nodeps,brorand,0
tsc,top1k-typed-nodeps,browser-process-hrtime,1
tsc,top1k-typed-nodeps,buffer-crc32,0
tsc,top1k-typed-nodeps,buffer-from,1
tsc,top1k-typed-nodeps,bytes,0
tsc,top1k-typed-nodeps,cacheable-lookup,0
tsc,top1k-typed-nodeps,callsites,1
tsc,top1k-typed-nodeps,camelcase,1
tsc,top1k-typed-nodeps,caniuse-lite,0
tsc,top1k-typed-nodeps,caseless,1
tsc,top1k-typed-nodeps,char-regex,1
tsc,top1k-typed-nodeps,chownr,0
tsc,top1k-typed-nodeps,ci-info,0
tsc,top1k-typed-nodeps,cjs-module-lexer,0
tsc,top1k-typed-nodeps,cli-boxes,0
tsc,top1k-typed-nodeps,cli-spinners,0
tsc,top1k-typed-nodeps,clone,0
tsc,top1k-typed-nodeps,co,0
tsc,top1k-typed-nodeps,collect-v8-coverage,1
tsc,top1k-typed-nodeps,color-name,1
tsc,top1k-typed-nodeps,color-support,1
tsc,top1k-typed-nodeps,colorette,0
tsc,top1k-typed-nodeps,colors,0
tsc,top1k-typed-nodeps,component-emitter,0
tsc,top1k-typed-nodeps,content-type,0
tsc,top1k-typed-nodeps,cookie-signature,1
tsc,top1k-typed-nodeps,cookie,0
tsc,top1k-typed-nodeps,create-require,0
tsc,top1k-typed-nodeps,cssesc,0
tsc,top1k-typed-nodeps,decamelize,1
tsc,top1k-typed-nodeps,decode-uri-component,1
tsc,top1k-typed-nodeps,deep-extend,1
tsc,top1k-typed-nodeps,deepmerge,0
tsc,top1k-typed-nodeps,define-lazy-prop,1
tsc,top1k-typed-nodeps,delegates,1
tsc,top1k-typed-nodeps,depd,0
tsc,top1k-typed-nodeps,destroy,0
tsc,top1k-typed-nodeps,detect-newline,1
tsc,top1k-typed-nodeps,detect-node,1
tsc,top1k-typed-nodeps,diff,0
tsc,top1k-typed-nodeps,dotenv,0
tsc,top1k-typed-nodeps,duplexer3,0
tsc,top1k-typed-nodeps,ee-first,1
tsc,top1k-typed-nodeps,emittery,0
tsc,top1k-typed-nodeps,emoji-regex,1
