"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps,@xtuc_long,NA,0,0,0
top1k-typed-nodeps,abab,0,0,0,0
top1k-typed-nodeps,abbrev,0,1,0,0
top1k-typed-nodeps,acorn-jsx,0,0,0,0
top1k-typed-nodeps,ansi-colors,0,0,0,0
top1k-typed-nodeps,ansi-regex,0,0,0,0
top1k-typed-nodeps,ansi-styles,0,0,0,0
top1k-typed-nodeps,arg,0,NA,0,0
top1k-typed-nodeps,argparse,NA,0,0,0
top1k-typed-nodeps,arr-diff,NA,0,0,0
top1k-typed-nodeps,arr-union,0,0,0,0
top1k-typed-nodeps,array-union,1,1,1,1
top1k-typed-nodeps,array-uniq,1,0,1,1
top1k-typed-nodeps,array-unique,1,0,1,1
top1k-typed-nodeps,arrify,1,0,1,1
top1k-typed-nodeps,assert-plus,0,0,0,0
top1k-typed-nodeps,astral-regex,0,0,1,1
top1k-typed-nodeps,async,NA,NA,0,0
top1k-typed-nodeps,atob,0,0,0,0
top1k-typed-nodeps,aws4,0,0,0,0
top1k-typed-nodeps,balanced-match,0,0,0,0
top1k-typed-nodeps,base64-js,0,0,0,0
top1k-typed-nodeps,big.js,NA,NA,0,0
top1k-typed-nodeps,binary-extensions,1,NA,1,1
top1k-typed-nodeps,bn.js,NA,NA,0,0
top1k-typed-nodeps,boolbase,1,1,1,1
top1k-typed-nodeps,brorand,0,0,0,0
top1k-typed-nodeps,browser-process-hrtime,0,NA,0,0
top1k-typed-nodeps,buffer-crc32,0,0,0,0
top1k-typed-nodeps,buffer-from,0,0,0,0
top1k-typed-nodeps,bytes,0,0,0,0
top1k-typed-nodeps,cacheable-lookup,0,0,0,0
top1k-typed-nodeps,callsites,0,0,1,1
top1k-typed-nodeps,camelcase,0,0,0,0
top1k-typed-nodeps,caniuse-lite,NA,NA,0,0
top1k-typed-nodeps,caseless,0,NA,0,0
top1k-typed-nodeps,char-regex,0,NA,1,1
top1k-typed-nodeps,chownr,0,NA,1,1
top1k-typed-nodeps,ci-info,1,0,0,0
top1k-typed-nodeps,cjs-module-lexer,NA,0,0,0
top1k-typed-nodeps,cli-boxes,1,1,1,1
top1k-typed-nodeps,cli-spinners,0,NA,0,0
top1k-typed-nodeps,clone,0,0,0,0
top1k-typed-nodeps,co,0,0,0,0
top1k-typed-nodeps,collect-v8-coverage,0,0,0,0
top1k-typed-nodeps,color-name,1,NA,1,1
top1k-typed-nodeps,color-support,0,0,0,0
top1k-typed-nodeps,colorette,NA,0,0,0
top1k-typed-nodeps,colors,0,0,0,0
top1k-typed-nodeps,component-emitter,1,NA,0,1
top1k-typed-nodeps,content-type,0,0,0,1
top1k-typed-nodeps,cookie,0,0,0,0
