"Package","Contains code","Is typed","Number of deps","Number of typed deps","Percentage of typed deps"
@babel_code-frame,True,True,1,0,0.00
@babel_compat-data,True,False,0,0,NA
@babel_core,True,True,15,4,0.27
@babel_generator,True,True,3,1,0.33
@babel_helper-annotate-as-pure,True,False,1,0,0.00
@babel_helper-builder-binary-assignment-operator-visitor,True,False,2,0,0.00
@babel_helper-compilation-targets,True,False,4,1,0.25
@babel_helper-create-class-features-plugin,True,False,6,0,0.00
@babel_helper-create-regexp-features-plugin,True,False,2,0,0.00
@babel_helper-define-polyfill-provider,True,False,8,4,0.50
@babel_helper-explode-assignable-expression,True,False,1,0,0.00
@babel_helper-function-name,True,False,3,0,0.00
@babel_helper-get-function-arity,True,False,1,0,0.00
@babel_helper-hoist-variables,True,False,1,0,0.00
@babel_helper-member-expression-to-functions,True,False,1,0,0.00
@babel_helper-module-imports,True,False,1,0,0.00
@babel_helper-module-transforms,True,False,8,0,0.00
@babel_helper-optimise-call-expression,True,False,1,0,0.00
@babel_helper-plugin-utils,True,True,0,0,NA
@babel_helper-remap-async-to-generator,True,False,3,0,0.00
@babel_helper-replace-supers,True,False,4,0,0.00
@babel_helper-simple-access,True,False,1,0,0.00
@babel_helper-skip-transparent-expression-wrappers,True,False,1,0,0.00
@babel_helper-split-export-declaration,True,False,1,0,0.00
@babel_helper-validator-identifier,True,True,0,0,NA
@babel_helper-validator-option,True,False,0,0,NA
@babel_helper-wrap-function,True,False,4,0,0.00
@babel_helpers,True,False,3,0,0.00
@babel_highlight,True,False,3,0,0.00
@babel_parser,True,False,0,0,NA
@babel_plugin-bugfix-v8-spread-parameters-in-optional-chaining,True,False,3,0,0.00
@babel_plugin-proposal-async-generator-functions,True,False,3,0,0.00
@babel_plugin-proposal-class-properties,True,False,2,0,0.00
@babel_plugin-proposal-class-static-block,True,False,3,0,0.00
@babel_plugin-proposal-dynamic-import,True,False,2,0,0.00
@babel_plugin-proposal-export-namespace-from,True,False,2,0,0.00
@babel_plugin-proposal-json-strings,True,False,2,0,0.00
@babel_plugin-proposal-logical-assignment-operators,True,False,2,0,0.00
@babel_plugin-proposal-nullish-coalescing-operator,True,False,2,0,0.00
@babel_plugin-proposal-numeric-separator,True,False,2,0,0.00
@babel_plugin-proposal-object-rest-spread,True,False,5,0,0.00
@babel_plugin-proposal-optional-catch-binding,True,False,2,0,0.00
@babel_plugin-proposal-optional-chaining,True,False,3,0,0.00
@babel_plugin-proposal-private-methods,True,False,2,0,0.00
@babel_plugin-proposal-private-property-in-object,True,False,4,0,0.00
@babel_plugin-proposal-unicode-property-regex,True,False,2,0,0.00
@babel_plugin-syntax-async-generators,True,False,1,0,0.00
@babel_plugin-syntax-bigint,True,False,1,0,0.00
@babel_plugin-syntax-class-properties,True,False,1,0,0.00
@babel_plugin-syntax-class-static-block,True,False,1,0,0.00
@babel_plugin-syntax-dynamic-import,True,False,1,0,0.00
@babel_plugin-syntax-export-namespace-from,True,False,1,0,0.00
@babel_plugin-syntax-import-meta,True,False,1,0,0.00
@babel_plugin-syntax-json-strings,True,False,1,0,0.00
@babel_plugin-syntax-jsx,True,False,1,0,0.00
@babel_plugin-syntax-logical-assignment-operators,True,False,1,0,0.00
@babel_plugin-syntax-nullish-coalescing-operator,True,False,1,0,0.00
@babel_plugin-syntax-numeric-separator,True,False,1,0,0.00
@babel_plugin-syntax-object-rest-spread,True,False,1,0,0.00
@babel_plugin-syntax-optional-catch-binding,True,False,1,0,0.00
@babel_plugin-syntax-optional-chaining,True,False,1,0,0.00
@babel_plugin-syntax-private-property-in-object,True,False,1,0,0.00
@babel_plugin-syntax-top-level-await,True,False,1,0,0.00
@babel_plugin-syntax-typescript,True,False,1,0,0.00
@babel_plugin-transform-arrow-functions,True,False,1,0,0.00
@babel_plugin-transform-async-to-generator,True,False,3,0,0.00
@babel_plugin-transform-block-scoped-functions,True,False,1,0,0.00
@babel_plugin-transform-block-scoping,True,False,1,0,0.00
@babel_plugin-transform-classes,True,False,7,0,0.00
@babel_plugin-transform-computed-properties,True,False,1,0,0.00
@babel_plugin-transform-destructuring,True,False,1,0,0.00
@babel_plugin-transform-dotall-regex,True,False,2,0,0.00
@babel_plugin-transform-duplicate-keys,True,False,1,0,0.00
@babel_plugin-transform-exponentiation-operator,True,False,2,0,0.00
@babel_plugin-transform-for-of,True,False,1,0,0.00
@babel_plugin-transform-function-name,True,False,2,0,0.00
@babel_plugin-transform-literals,True,False,1,0,0.00
@babel_plugin-transform-member-expression-literals,True,False,1,0,0.00
@babel_plugin-transform-modules-amd,True,False,3,0,0.00
@babel_plugin-transform-modules-commonjs,True,False,4,0,0.00
@babel_plugin-transform-modules-systemjs,True,False,5,0,0.00
@babel_plugin-transform-modules-umd,True,False,2,0,0.00
@babel_plugin-transform-named-capturing-groups-regex,True,False,1,0,0.00
@babel_plugin-transform-new-target,True,False,1,0,0.00
@babel_plugin-transform-object-super,True,False,2,0,0.00
@babel_plugin-transform-parameters,True,False,1,0,0.00
@babel_plugin-transform-property-literals,True,False,1,0,0.00
@babel_plugin-transform-react-display-name,True,False,1,0,0.00
@babel_plugin-transform-react-jsx,True,False,5,0,0.00
@babel_plugin-transform-react-jsx-development,True,False,1,0,0.00
@babel_plugin-transform-react-pure-annotations,True,False,2,0,0.00
@babel_plugin-transform-regenerator,True,False,1,0,0.00
@babel_plugin-transform-reserved-words,True,False,1,0,0.00
@babel_plugin-transform-runtime,True,True,6,1,0.17
@babel_plugin-transform-shorthand-properties,True,False,1,0,0.00
@babel_plugin-transform-spread,True,False,2,0,0.00
@babel_plugin-transform-sticky-regex,True,False,1,0,0.00
@babel_plugin-transform-template-literals,True,False,1,0,0.00
@babel_plugin-transform-typeof-symbol,True,False,1,0,0.00
@babel_plugin-transform-unicode-escapes,True,False,1,0,0.00
@babel_plugin-transform-unicode-regex,True,False,2,0,0.00
@babel_preset-env,True,True,73,1,0.01
@babel_preset-modules,True,False,5,1,0.20
@babel_preset-react,True,False,6,0,0.00
@babel_runtime,True,False,1,1,1.00
@babel_template,True,True,3,0,0.00
@babel_traverse,True,True,9,1,0.11
